Label	Class	n_sample
0	dogs	791
1	cats	1127

Epoch	AvgTrainLoss	AvgTrainAcc	AvgValLoss	AvgValAcc
1	6.9218432903e-01	5.5831325054e-01	6.9055151939e-01	5.8638745546e-01
2	6.8635803461e-01	5.8843553066e-01	6.8136072159e-01	5.8638745546e-01
3	6.8305629492e-01	5.8824557066e-01	6.8048524857e-01	5.8638745546e-01
4	6.8001753092e-01	5.8710616827e-01	6.7982316017e-01	5.8638745546e-01
5	6.7878055573e-01	5.8805567026e-01	6.7876398563e-01	5.8638745546e-01
6	6.7836230993e-01	5.8805567026e-01	6.7845278978e-01	5.8638745546e-01
7	6.7787349224e-01	5.8729606867e-01	6.7804896832e-01	5.8638745546e-01
8	6.7776972055e-01	5.8729606867e-01	6.7764168978e-01	5.8638745546e-01
9	6.7789614201e-01	5.8596670628e-01	6.7668294907e-01	5.8638745546e-01
10	6.7746573687e-01	5.8596670628e-01	6.7539960146e-01	5.8638745546e-01
11	6.7566865683e-01	5.8596670628e-01	6.7316210270e-01	5.8638745546e-01
12	6.7766892910e-01	5.8862543106e-01	6.7205792665e-01	5.8638745546e-01
13	6.7134064436e-01	5.8976489305e-01	6.6602337360e-01	5.8638745546e-01
14	6.6606038809e-01	5.8691626787e-01	6.6815203428e-01	5.8638745546e-01
15	6.5970605612e-01	5.8748596907e-01	6.5508383512e-01	6.0732984543e-01
16	6.5475606918e-01	6.1019891500e-01	6.3021951914e-01	6.3874346018e-01
17	6.3285720348e-01	6.3753092289e-01	6.1004447937e-01	6.5968585014e-01
18	6.2119209766e-01	6.2900555134e-01	5.9191495180e-01	6.9633507729e-01
19	6.1061388254e-01	6.4406090975e-01	6.1690282822e-01	6.6492146254e-01
20	6.1063379049e-01	6.4391767979e-01	6.0060608387e-01	6.7015707493e-01
21	6.0020196438e-01	6.5949594975e-01	6.0266679525e-01	6.7539268732e-01
22	6.1675411463e-01	6.4350283146e-01	5.9902781248e-01	6.8062829971e-01
23	6.0014164448e-01	6.5951931477e-01	5.9400475025e-01	6.7539268732e-01
24	5.9288018942e-01	6.6474324465e-01	5.8222663403e-01	6.9633507729e-01
25	5.9661608934e-01	6.6583591700e-01	5.8065474033e-01	7.0157068968e-01
26	5.8126008511e-01	6.7405164242e-01	5.8055210114e-01	6.9633507729e-01
27	5.8159488440e-01	6.8020170927e-01	5.8275151253e-01	6.8586385250e-01
28	5.7715272903e-01	6.7796957493e-01	5.7524335384e-01	7.1204191446e-01
29	5.6366699934e-01	7.0346099138e-01	6.4433598518e-01	6.8062829971e-01
30	5.7991802692e-01	6.8146091700e-01	5.7064825296e-01	7.1727746725e-01
31	5.6932586432e-01	7.0290291309e-01	5.6841868162e-01	7.2774869204e-01
32	5.6430792809e-01	7.0230990648e-01	5.7007884979e-01	7.2251307964e-01
33	5.6781035662e-01	7.0422065258e-01	5.6826359034e-01	7.2774869204e-01
34	5.6217622757e-01	7.1202141047e-01	5.5923122168e-01	7.4869108200e-01
35	5.5513054132e-01	7.1110695601e-01	5.8024227619e-01	7.0680630207e-01
36	5.4952728748e-01	7.1709048748e-01	5.5667430162e-01	7.4869108200e-01
37	5.4202395678e-01	7.1387374401e-01	5.4920810461e-01	7.4345546961e-01
38	5.4173147678e-01	7.2616225481e-01	5.8477640152e-01	6.9633507729e-01
39	5.4420292377e-01	7.2873914242e-01	5.4558712244e-01	7.4345546961e-01
40	5.4872596264e-01	7.2257739305e-01	5.7033002377e-01	7.2774869204e-01
41	5.5413973331e-01	7.2058188915e-01	5.5728185177e-01	7.4345546961e-01
42	5.3799474239e-01	7.4242705107e-01	5.3998994827e-01	7.4869108200e-01
43	5.2697902918e-01	7.3996990919e-01	5.6119650602e-01	7.3821991682e-01
44	5.2784138918e-01	7.4309319258e-01	5.5748289824e-01	7.4345546961e-01
45	5.1507955790e-01	7.5092905760e-01	5.5055189133e-01	7.5392669439e-01
46	5.2475732565e-01	7.3307192326e-01	5.3118962049e-01	7.5392669439e-01
47	5.2130711079e-01	7.3567217588e-01	6.1200374365e-01	7.1204191446e-01
48	5.4924416542e-01	7.1276938915e-01	5.6139612198e-01	7.2251307964e-01
49	5.2882945538e-01	7.3436623812e-01	5.4179918766e-01	7.4345546961e-01
50	5.1642501354e-01	7.5130891800e-01	5.3266584873e-01	7.5392669439e-01
