Label	Class	n_sample
0	dogs	791
1	cats	791

Epoch	AvgTrainLoss	AvgTrainAcc	AvgValLoss	AvgValAcc
1	6.9317275286e-01	4.7475406528e-01	6.9314718246e-01	5.0000000000e-01
2	6.9315034151e-01	4.8784720898e-01	6.9314712286e-01	5.0000000000e-01
3	6.9315308332e-01	4.9645543098e-01	6.9314724207e-01	5.0000000000e-01
4	6.9315433502e-01	4.8936632276e-01	6.9314712286e-01	5.0000000000e-01
5	6.9315552711e-01	4.8451969028e-01	6.9314724207e-01	5.0000000000e-01
6	6.9315743446e-01	4.9016204476e-01	6.9314754009e-01	5.0000000000e-01
7	6.9314795732e-01	5.0050634146e-01	6.9314759970e-01	5.0000000000e-01
8	6.9316267967e-01	4.9442997575e-01	6.9314754009e-01	5.0000000000e-01
9	6.9314891100e-01	5.0253182650e-01	6.9314742088e-01	5.0000000000e-01
10	6.9315260649e-01	4.9696180224e-01	6.9314730167e-01	5.0000000000e-01
11	6.9314879179e-01	4.9095773697e-01	6.9314718246e-01	5.0000000000e-01
12	6.9316101074e-01	4.9544271827e-01	6.9314730167e-01	5.0000000000e-01
13	6.9314759970e-01	5.0101274252e-01	6.9314718246e-01	5.0000000000e-01
14	6.9314748049e-01	5.0043404102e-01	6.9314718246e-01	5.0000000000e-01
15	6.9316864014e-01	4.9797454476e-01	6.9314801693e-01	5.0000000000e-01
16	6.9315475225e-01	4.9848091602e-01	6.9314748049e-01	5.0000000000e-01
17	6.9315296412e-01	5.0405091047e-01	6.9314712286e-01	5.0000000000e-01
18	6.9314861298e-01	4.9898728728e-01	6.9314730167e-01	5.0000000000e-01
19	6.9315409660e-01	4.9645543098e-01	6.9314724207e-01	5.0000000000e-01
20	6.9315654039e-01	5.0050634146e-01	6.9314748049e-01	5.0000000000e-01
21	6.9315832853e-01	4.9594905972e-01	6.9314742088e-01	5.0000000000e-01
22	6.9314837456e-01	5.0050634146e-01	6.9314718246e-01	5.0000000000e-01
23	6.9314962626e-01	5.0050634146e-01	6.9314712286e-01	5.0000000000e-01
24	6.9315367937e-01	4.9797454476e-01	6.9314736128e-01	5.0000000000e-01
25	6.9315737486e-01	4.9544271827e-01	6.9314730167e-01	5.0000000000e-01
26	6.9315028191e-01	4.9797454476e-01	6.9314718246e-01	5.0000000000e-01
27	6.9314688444e-01	5.0000000000e-01	6.9314724207e-01	5.0000000000e-01
28	6.9314569235e-01	5.0202542543e-01	6.9314742088e-01	5.0000000000e-01
29	6.9314652681e-01	5.0354456902e-01	6.9314789772e-01	5.0000000000e-01
30	6.9316405058e-01	4.9848091602e-01	6.9314873219e-01	5.0000000000e-01
31	6.9314545393e-01	5.0151908398e-01	6.9314843416e-01	5.0000000000e-01
32	6.9319725037e-01	4.9341726303e-01	6.9314944744e-01	5.0000000000e-01
33	6.9314360619e-01	5.0101274252e-01	6.9314783812e-01	5.0000000000e-01
34	6.9316881895e-01	4.9442997575e-01	6.9314408302e-01	5.0000000000e-01
35	6.9317817688e-01	4.8444733024e-01	6.9314748049e-01	5.0000000000e-01
36	6.9316762686e-01	4.9848091602e-01	6.9314795732e-01	5.0000000000e-01
37	6.9315332174e-01	4.9797454476e-01	6.9314777851e-01	5.0000000000e-01
38	6.9317024946e-01	4.8191550374e-01	6.9314718246e-01	5.0000000000e-01
39	6.9315218925e-01	4.8835358024e-01	6.9314718246e-01	5.0000000000e-01
40	6.9315224886e-01	4.8495373130e-01	6.9314718246e-01	5.0000000000e-01
41	6.9315093756e-01	4.8951101303e-01	6.9314730167e-01	5.0000000000e-01
42	6.9315129519e-01	5.0000000000e-01	6.9314754009e-01	5.0000000000e-01
43	6.9314593077e-01	5.0455731153e-01	6.9314742088e-01	5.0000000000e-01
44	6.9314503670e-01	5.0253182650e-01	6.9314831495e-01	5.0000000000e-01
45	6.9316768646e-01	4.9797454476e-01	6.9314968586e-01	5.0000000000e-01
46	6.9315600395e-01	5.0050634146e-01	6.9314992428e-01	5.0000000000e-01
47	6.9317358732e-01	4.9544271827e-01	6.9314950705e-01	5.0000000000e-01
48	6.9315785170e-01	4.9848091602e-01	6.9314783812e-01	5.0000000000e-01
49	6.9315862656e-01	4.9746814370e-01	6.9314712286e-01	5.0000000000e-01
50	6.9315105677e-01	4.9594905972e-01	6.9314712286e-01	5.0000000000e-01
