Label	Class	n_sample
0	dogs	791
1	cats	791

Epoch	AvgTrainLoss	AvgTrainAcc	AvgValLoss	AvgValAcc
1	6.1733418703e-01	5.0000000000e-01	5.5776691437e-01	5.0000000000e-01
2	5.6318211555e-01	1.0000000000e+00	5.6859767437e-01	1.0000000000e+00
3	5.5777257681e-01	1.0000000000e+00	5.6867104769e-01	1.0000000000e+00
4	5.2588272095e-01	1.0000000000e+00	5.4549574852e-01	1.0000000000e+00
5	5.5320495367e-01	1.0000000000e+00	7.3608672619e-01	1.0000000000e+00
6	6.9355005026e-01	1.0000000000e+00	5.4000586271e-01	9.6871179342e-01
7	1.0751564503e+00	8.6549711227e-01	7.4805098772e-01	8.3772468567e-01
8	7.9348802567e-01	8.6038959026e-01	5.2877078056e+00	8.3763813972e-01
9	5.3974699974e-01	7.7583336830e-01	1.4609276772e+01	7.5500625372e-01
10	2.2326087952e+00	7.8174602985e-01	5.8896610260e+01	7.6387143135e-01
11	7.0157958984e+01	7.2150540352e-01	1.7625656128e+01	6.8869543076e-01
12	2.0847813416e+02	6.7156863213e-01	2.9232415771e+02	6.7149698734e-01
13	1.4294775391e+02	6.9857358932e-01	4.9147869873e+02	6.8497669697e-01
14	8.1772064209e+02	6.5833330154e-01	2.1606895447e+02	6.3293659687e-01
15	1.9362130127e+03	6.2347733974e-01	2.3957451172e+03	6.2336021662e-01
16	1.3603311768e+03	6.4830923080e-01	3.0003659668e+03	6.3731604815e-01
17	4.4402387695e+03	6.1862242222e-01	7.9885876465e+02	5.9788632393e-01
18	1.0561609375e+04	5.9219455719e-01	1.5352617188e+04	5.9204769135e-01
19	6.9935644531e+03	6.1464643478e-01	1.3849654297e+04	6.0540491343e-01
20	2.2862597656e+04	5.9134906530e-01	5.3416132812e+03	5.7381403446e-01
21	4.8847933594e+04	5.7021856308e-01	7.1724234375e+04	5.7005071640e-01
22	3.7590609375e+04	5.9052580595e-01	5.8588949219e+04	5.8254313469e-01
23	1.0964231250e+05	5.7146084309e-01	2.1603158203e+04	5.5626022816e-01
24	2.1351703125e+05	5.5393373966e-01	2.6871453125e+05	5.5375027657e-01
25	1.6679964062e+05	5.7239341736e-01	1.9967965625e+05	5.6535923481e-01
26	2.6596053125e+05	5.5631577969e-01	2.5295203125e+04	5.4289281368e-01
27	7.7745962500e+05	5.4138267040e-01	9.4606137500e+05	5.4118710756e-01
28	6.2144893750e+05	5.5826556683e-01	5.5768637500e+05	5.5197167397e-01
29	1.0967298750e+06	5.4439777136e-01	1.2371856250e+05	5.3237378597e-01
30	2.3990142500e+06	5.3141331673e-01	3.6571912500e+06	5.3120809793e-01
31	2.1013340000e+06	5.4694747925e-01	1.8518937500e+06	5.4124742746e-01
32	3.3444390000e+06	5.3477466106e-01	5.7502950000e+05	5.2388036251e-01
33	6.5160780000e+06	5.2330327034e-01	8.4408600000e+06	5.2309024334e-01
34	6.1666695000e+06	5.3767681122e-01	4.7513500000e+06	5.3246366978e-01
35	8.5490310000e+06	5.2684181929e-01	2.0010375000e+05	5.1687872410e-01
36	1.9268200000e+07	5.2605569363e-01	2.9115846000e+07	5.1635730267e-01
37	1.8607810000e+07	5.3916072845e-01	1.0189832000e+07	5.2513730526e-01
38	1.5251838000e+07	5.2915859222e-01	2.0297700000e+06	5.1547765732e-01
39	8.0599010000e+06	5.3276121616e-01	1.6796852000e+07	5.1946198940e-01
40	7.3950000000e+05	5.3617990017e-01	3.0794386000e+07	5.2324289083e-01
41	8.0007900000e+06	5.4356062412e-01	8.5146880000e+07	5.3097516298e-01
42	1.0785318400e+08	5.3442174196e-01	2.1886670000e+07	5.1807665825e-01
43	1.4098024000e+08	5.2568429708e-01	1.8453454400e+08	5.1761657000e-01
44	1.6606656000e+08	5.3667265177e-01	3.8077696000e+07	5.2494060993e-01
45	9.2067160000e+07	5.2830940485e-01	6.4390656000e+07	5.1681917906e-01
46	1.3251840000e+07	5.3504902124e-01	2.7242400000e+08	5.2383589745e-01
47	3.5148204800e+08	5.2708268166e-01	3.6980928000e+07	5.1248908043e-01
48	6.0261632000e+08	5.1942861080e-01	8.6375539200e+08	5.1219779253e-01
49	6.7082048000e+08	5.2940613031e-01	5.4831392000e+07	5.2232539654e-01
50	1.0248708480e+09	5.3559935093e-01	1.6565564160e+09	5.2189618349e-01
