Label	Class	n_sample
0	dogs	791
1	cats	791

Epoch	AvgTrainLoss	AvgTrainAcc	AvgValLoss	AvgValAcc
1	7.0290833712e-01	4.7243303061e-01	6.9337910414e-01	4.9613988400e-01
2	6.9312655926e-01	5.0177228451e-01	6.9308346510e-01	4.9409449100e-01
3	6.9284218550e-01	5.2166521549e-01	6.9142282009e-01	5.0584399700e-01
4	6.8818962574e-01	5.1241964102e-01	6.8620979786e-01	5.2348363400e-01
5	6.9804966450e-01	5.1036608219e-01	6.9181478024e-01	5.2372968197e-01
6	6.9304478168e-01	5.1330357790e-01	6.9324028492e-01	4.8439037800e-01
7	6.9287580252e-01	5.0520092249e-01	6.9232785702e-01	5.3547918797e-01
8	6.9313192368e-01	4.9155801535e-01	6.9271373749e-01	5.2357590199e-01
9	6.9282555580e-01	5.1516962051e-01	6.8982434273e-01	5.5485665798e-01
10	6.8952196836e-01	5.2040624619e-01	6.8638849258e-01	5.3730928898e-01
11	6.9063693285e-01	5.0175893307e-01	6.7946231365e-01	5.5702507496e-01
12	6.8875825405e-01	5.5436164141e-01	6.8901288509e-01	5.7078921795e-01
13	6.9018405676e-01	5.5117857456e-01	6.8432617188e-01	5.8024728298e-01
14	6.8700993061e-01	5.4949998856e-01	6.8283748627e-01	5.6663691998e-01
15	6.9003504515e-01	5.2503573895e-01	6.8557953835e-01	5.3123462200e-01
16	6.8980109692e-01	5.6229019165e-01	6.9118720293e-01	5.1957738400e-01
17	6.9164508581e-01	5.3098213673e-01	6.8945920467e-01	5.4323017597e-01
18	6.9015395641e-01	5.4108035564e-01	6.8654203415e-01	5.6877458096e-01
19	6.8567198515e-01	5.5761605501e-01	6.9540750980e-01	5.5113494396e-01
20	6.8527323008e-01	5.4233926535e-01	7.0348668098e-01	5.2735912800e-01
21	6.8381625414e-01	5.5496871471e-01	6.7758882046e-01	5.6263840199e-01
22	6.8723332882e-01	5.5719643831e-01	6.7896032333e-01	6.0197770596e-01
23	6.8847930431e-01	5.4769194126e-01	6.7329835892e-01	5.7863247395e-01
24	6.8167412281e-01	5.4709821939e-01	6.8099153042e-01	5.5690205097e-01
25	6.8255984783e-01	5.6182587147e-01	6.8802118301e-01	5.2748215199e-01
26	6.7683267593e-01	5.8406245708e-01	6.8338483572e-01	5.5882441998e-01
27	6.7906081676e-01	5.7876789570e-01	6.8581825495e-01	5.4323017597e-01
28	6.8188291788e-01	5.6392413378e-01	6.8221795559e-01	5.6077754498e-01
29	6.8509972095e-01	5.5742853880e-01	6.8294918537e-01	5.8040106297e-01
30	6.8635970354e-01	5.2484822273e-01	6.8947303295e-01	5.2748215199e-01
31	6.8701553345e-01	5.2341520786e-01	6.8045759201e-01	5.5308806896e-01
32	6.8501096964e-01	5.6350445747e-01	6.9498813152e-01	5.1954662800e-01
33	6.8179762363e-01	5.5028122663e-01	6.7522799969e-01	6.0005533695e-01
34	6.7666256428e-01	5.9193307161e-01	6.8131828308e-01	5.3703248501e-01
35	6.8229025602e-01	5.4330801964e-01	6.7054903507e-01	5.7844793797e-01
36	6.8430715799e-01	5.5064284801e-01	6.7885947227e-01	5.6074678898e-01
37	6.8093007803e-01	5.7708930969e-01	6.7838418484e-01	5.6080830097e-01
38	6.7493408918e-01	5.8929908276e-01	7.2323638201e-01	5.4707491398e-01
39	6.8796437979e-01	5.3891074657e-01	6.6382467747e-01	5.8049333096e-01
40	6.8053406477e-01	5.3945982456e-01	6.8216049671e-01	5.6090056896e-01
41	6.7715114355e-01	5.7762497663e-01	6.7978763580e-01	5.5894744396e-01
42	6.7818987370e-01	5.7204020023e-01	6.8037664890e-01	5.6086981297e-01
43	6.7853325605e-01	5.6891518831e-01	6.6731274128e-01	6.0585319996e-01
44	6.7136752605e-01	5.9452235699e-01	7.0020723343e-01	5.1957738400e-01
45	6.7403548956e-01	5.7408034801e-01	6.9784247875e-01	5.4692113400e-01
46	6.7288124561e-01	5.7630807161e-01	6.8818640709e-01	5.6080830097e-01
47	6.9201022387e-01	5.3844642639e-01	6.8453246355e-01	5.3727853298e-01
48	6.8154323101e-01	5.5683481693e-01	6.8612456322e-01	5.3907787800e-01
49	6.7944091558e-01	5.6158035994e-01	6.7195188999e-01	5.9617984295e-01
50	6.7409986258e-01	5.9084820747e-01	6.8025243282e-01	5.7841718197e-01
