Label	Class	n_sample
0	dogs	791
1	cats	791

Epoch	AvgTrainLoss	AvgTrainAcc	AvgValLoss	AvgValAcc
1	6.4982551336e-01	2.5000000000e-01	5.1444518566e-01	6.2500000000e-01
2	5.5235165358e-01	1.0566406250e+00	6.3357985020e-01	7.8535592556e-01
3	5.0361573696e-01	9.3205916882e-01	5.5777150393e-01	7.8056597710e-01
4	5.8496952057e-01	8.8072919846e-01	5.2536785603e-01	7.7602732182e-01
5	5.1897525787e-01	8.3463537693e-01	5.2530717850e-01	7.5255668163e-01
6	7.3812770844e-01	7.9636228085e-01	6.2300539017e-01	7.3073101044e-01
7	1.7911310196e+00	7.7516222000e-01	2.7982578278e+00	6.9941806793e-01
8	9.3251285553e+00	7.0907318592e-01	2.4227983952e+00	6.7687809467e-01
9	2.1707050323e+01	7.0596349239e-01	1.4266023636e+01	6.5876418352e-01
10	1.7711828232e+01	6.9993954897e-01	3.4835963249e+00	6.6574013233e-01
11	5.0335605621e+01	6.9328796864e-01	2.2556597900e+02	6.6107654572e-01
12	2.5924185181e+02	6.9657278061e-01	3.5834304810e+01	6.6187191010e-01
13	4.6561853027e+02	6.9467616081e-01	1.3187631836e+03	6.6240423918e-01
14	4.7065429688e+02	6.5569162369e-01	4.0616816406e+03	6.2872165442e-01
15	3.3466569824e+03	6.6962337494e-01	1.8132187500e+03	6.4295518398e-01
16	1.0268668213e+03	6.3934177160e-01	7.4078496094e+03	6.1750125885e-01
17	2.0263118896e+03	6.5140533447e-01	2.2456421875e+04	6.2593317032e-01
18	1.3712561523e+04	6.2096267939e-01	2.6891992188e+04	5.9960597754e-01
19	3.4569398438e+04	6.3256657124e-01	2.6151781250e+04	6.1231195927e-01
20	1.7883347656e+04	6.0846877098e-01	9.9247515625e+04	5.8966040611e-01
21	8.1239421875e+04	6.1967957020e-01	6.7152398438e+04	6.0160434246e-01
22	4.9506882812e+04	5.9836977720e-01	2.3936282812e+05	5.8138281107e-01
23	2.0189889062e+05	6.0894167423e-01	2.0200346875e+05	5.9262734652e-01
24	1.5005214062e+05	5.8990240097e-01	5.8095125000e+05	5.7445842028e-01
25	5.3951037500e+05	6.1372089386e-01	4.2316859375e+05	5.8506333828e-01
26	3.1266931250e+05	5.9600090981e-01	1.3389656250e+06	5.6861996651e-01
27	1.3130257500e+06	6.0502976179e-01	9.7128000000e+05	5.7864147425e-01
28	5.9288275000e+05	5.8900272846e-01	3.2331855000e+06	5.6377291679e-01
29	3.1880727500e+06	5.9771150351e-01	2.2830087500e+06	5.7325845957e-01
30	1.9842782500e+06	5.8296549320e-01	6.2885000000e+06	5.5945026875e-01
31	5.9234255000e+06	5.9123408794e-01	3.8071880000e+06	5.6845337152e-01
32	3.2958717500e+06	5.7764017582e-01	1.5238855000e+07	5.5567646027e-01
33	1.4839364000e+07	5.8556210995e-01	7.4187360000e+06	5.6423985958e-01
34	3.4455095000e+06	5.7299637794e-01	2.8684132000e+07	5.5243098736e-01
35	2.8003886000e+07	5.8063030243e-01	1.2074550000e+07	5.6059056520e-01
36	6.9424480000e+06	5.6895494461e-01	6.8788808000e+07	5.4962462187e-01
37	6.8092448000e+07	5.7631587982e-01	1.1499600000e+07	5.5741274357e-01
38	4.4802220000e+06	5.6615126133e-01	8.3309280000e+07	5.4861253500e-01
39	2.3928944000e+07	5.7392060757e-01	1.6860272000e+08	5.5602127314e-01
40	1.7865420800e+08	5.6354081631e-01	5.0399552000e+07	5.4194450378e-01
41	3.6449376000e+08	5.5364245176e-01	5.2568857600e+08	5.4090774059e-01
42	3.6220960000e+08	5.6448554993e-01	1.4569742400e+08	5.4796528816e-01
43	2.7726803200e+08	5.5506670475e-01	5.7899200000e+07	5.3898298740e-01
44	9.0492816000e+07	5.5765187740e-01	2.8157398400e+08	5.4190844297e-01
45	3.5583088000e+07	5.7116234303e-01	9.6400281600e+08	5.4793930054e-01
46	9.6669120000e+08	5.6195992231e-01	1.2411776000e+08	5.3589648008e-01
47	1.6720220160e+09	5.6060457230e-01	2.7338572800e+09	5.3512549400e-01
48	2.1424318720e+09	5.6992065907e-01	1.2654259200e+08	5.4491245747e-01
49	3.6188390400e+09	5.7534754276e-01	5.2350008320e+09	5.4393118620e-01
50	5.0637649920e+09	5.6364524364e-01	2.6563496960e+09	5.3294253349e-01
