Label	Class	n_sample
0	dogs	791
1	cats	791

Epoch	AvgTrainLoss	AvgTrainAcc	AvgValLoss	AvgValAcc
1	6.9483959675e-01	4.8410716653e-01	6.9254595041e-01	4.9629366398e-01
2	6.9347655773e-01	4.9851784110e-01	6.8910765648e-01	5.1570188999e-01
3	6.9260001183e-01	5.0358039141e-01	6.9252717495e-01	6.1381947994e-01
4	6.9227385521e-01	5.9631693363e-01	6.9167983532e-01	4.6073758602e-01
5	6.9178372622e-01	4.9401783943e-01	6.8574380875e-01	5.4310715199e-01
6	6.8953728676e-01	4.8914283514e-01	6.8670940399e-01	5.9990155697e-01
7	6.8459272385e-01	6.1001789570e-01	6.7493975163e-01	5.6282293797e-01
8	6.6642415524e-01	5.8520537615e-01	6.6043269634e-01	6.1558806896e-01
9	6.6857987642e-01	5.8665180206e-01	6.7602598667e-01	5.7048165798e-01
10	6.6922652721e-01	6.1567413807e-01	6.4888995886e-01	6.0600697994e-01
11	6.5275317430e-01	6.1285269260e-01	6.4072972536e-01	6.3130533695e-01
12	6.4333558083e-01	6.5360713005e-01	6.1107105017e-01	6.7641174793e-01
13	6.2603461742e-01	6.4044201374e-01	6.1347019672e-01	7.0210999250e-01
14	6.2167656422e-01	6.7138838768e-01	6.0780966282e-01	6.7049086094e-01
15	6.0328221321e-01	6.8270093203e-01	5.9372562170e-01	6.8410122395e-01
16	5.9132134914e-01	6.8607145548e-01	5.7316517830e-01	7.1367496252e-01
17	5.9315621853e-01	6.9904911518e-01	5.6618970633e-01	7.2365587950e-01
18	5.8150899410e-01	7.0120537281e-01	6.3346648216e-01	6.3722622395e-01
19	6.1813890934e-01	6.7962056398e-01	5.9114587307e-01	6.8233263493e-01
20	5.7224339247e-01	6.9808036089e-01	6.3535678387e-01	6.6078674793e-01
21	5.7275551558e-01	6.9802230597e-01	5.6839787960e-01	7.3329848051e-01
22	5.4665178061e-01	7.2008478642e-01	5.1308429241e-01	7.4517101049e-01
23	5.2483034134e-01	7.4971425533e-01	5.2852499485e-01	7.3528236151e-01
24	5.3328740597e-01	7.2073662281e-01	5.5602532625e-01	7.0784634352e-01
25	5.4125511646e-01	7.2945982218e-01	4.8746556044e-01	7.8048104048e-01
26	5.2054280043e-01	7.3900890350e-01	5.0709742308e-01	7.4910801649e-01
27	5.0845032930e-01	7.3805356026e-01	4.8236519098e-01	7.7056163549e-01
28	4.9192929268e-01	7.6011610031e-01	4.5917406678e-01	7.5475209951e-01
29	4.6096023917e-01	7.8625893593e-01	4.3519324064e-01	8.1374573708e-01
30	4.5025458932e-01	7.9070091248e-01	4.3652153015e-01	7.8429502249e-01
31	4.3530875444e-01	7.9443299770e-01	4.2437779903e-01	8.1563729048e-01
32	4.2129269242e-01	8.0116069317e-01	4.4847726822e-01	8.0788636208e-01
33	4.2042431235e-01	7.9407143593e-01	3.8182955980e-01	8.3727550507e-01
34	3.9734932780e-01	8.1655359268e-01	3.3300322294e-01	8.6867928505e-01
35	3.5269203782e-01	8.3429020643e-01	3.0360263586e-01	8.8042879105e-01
36	3.3893865347e-01	8.5256254673e-01	3.3957523108e-01	8.5485363007e-01
37	3.0835407972e-01	8.5050886869e-01	2.5306248665e-01	9.0597319603e-01
38	2.9811900854e-01	8.7455356121e-01	2.8679031134e-01	8.8430428505e-01
39	2.6687547565e-01	8.8417416811e-01	2.6831161976e-01	8.8817977905e-01
40	2.5584739447e-01	8.8741523027e-01	2.5864011049e-01	8.9797616005e-01
41	2.7360123396e-01	8.8080358505e-01	2.0551116765e-01	9.0795707703e-01
42	2.2761157155e-01	9.0437048674e-01	2.2181445360e-01	8.9614605904e-01
43	2.7488273382e-01	8.7329465151e-01	2.6023310423e-01	8.9605379105e-01
44	2.9213303328e-01	8.6824548244e-01	4.1498753428e-01	8.3730626106e-01
45	2.9597955942e-01	8.7504464388e-01	2.9075872898e-01	8.6858701706e-01
46	2.5358211994e-01	8.9487946033e-01	2.6966264844e-01	8.8232040405e-01
47	2.4161072075e-01	9.0322768688e-01	2.0437178016e-01	9.0777254105e-01
48	2.3538537323e-01	9.0965175629e-01	2.9682463408e-01	8.7050938606e-01
49	2.7177044749e-01	8.7984818220e-01	2.4319277704e-01	9.0585017204e-01
50	3.0390572548e-01	8.7179023027e-01	2.2935631871e-01	9.1177105904e-01
51	2.6627615094e-01	8.8188838959e-01	2.7902913094e-01	8.6672616005e-01
52	2.3397848010e-01	9.0749549866e-01	2.3384031653e-01	8.9410066605e-01
53	2.2198395431e-01	9.0683043003e-01	2.0016163588e-01	9.3331694603e-01
54	1.8361520767e-01	9.1753566265e-01	2.0474527776e-01	9.1772270203e-01
55	1.8776662648e-01	9.2624551058e-01	1.4055101573e-01	9.4714260101e-01
56	1.8225327134e-01	9.2601335049e-01	1.6190506518e-01	9.4314408302e-01
57	1.3589419425e-01	9.5389288664e-01	1.1606993526e-01	9.6078372002e-01
58	1.0990463197e-01	9.5991069078e-01	8.2959063351e-02	9.6273684502e-01
59	1.1740574986e-01	9.5095539093e-01	1.5034417808e-01	9.1769194603e-01
60	1.2023758888e-01	9.5107144117e-01	9.4854101539e-02	9.6472072601e-01
61	1.1630858481e-01	9.4878566265e-01	1.6241987050e-01	9.4119095802e-01
62	1.4219066501e-01	9.4722318649e-01	1.3315775990e-01	9.5684671402e-01
63	1.3848522305e-01	9.4169646502e-01	1.8685349822e-01	9.2358207703e-01
64	1.4557532966e-01	9.5023214817e-01	1.3568846881e-01	9.4518947601e-01
65	1.4537708461e-01	9.4493752718e-01	1.4308393002e-01	9.3328619003e-01
66	1.4886164665e-01	9.4217413664e-01	1.7896071076e-01	9.2739605904e-01
67	1.1064636707e-01	9.5600444078e-01	1.4836087823e-01	9.5095658302e-01
68	1.1878806353e-01	9.5480358601e-01	8.9823581278e-02	9.5092582703e-01
69	9.8297946155e-02	9.6604460478e-01	7.8291386366e-02	9.6661233902e-01
70	6.9705225527e-02	9.7517412901e-01	5.2639544010e-02	9.8037648201e-01
71	6.2364865094e-02	9.8064291477e-01	5.2679829299e-02	9.7442483902e-01
72	7.2604700923e-02	9.7565174103e-01	4.4565528631e-02	9.8626661301e-01
73	7.5894348323e-02	9.7349548340e-01	6.0770276934e-02	9.7448635101e-01
74	6.5205506980e-02	9.8064291477e-01	5.9668540955e-02	9.8434424400e-01
75	6.6688805819e-02	9.7313392162e-01	2.9196169227e-02	9.9609375000e-01
76	5.6074865162e-02	9.8298662901e-01	3.8570970297e-02	9.9212598801e-01
77	5.1127623767e-02	9.8094642162e-01	2.8917334974e-02	9.9414062500e-01
78	5.5493663996e-02	9.8088836670e-01	9.0276688337e-02	9.7064161301e-01
79	5.2433531731e-02	9.7782146931e-01	4.2256861925e-02	9.8428273201e-01
80	4.7724343836e-02	9.8407143354e-01	2.5664927438e-02	9.9215674400e-01
81	3.5803522915e-02	9.9140626192e-01	4.4464766979e-02	9.7643947601e-01
82	2.7949672192e-02	9.9068295956e-01	2.3699970916e-02	9.9804687500e-01
83	2.8032559901e-02	9.9140626192e-01	7.5771138072e-03	1.0000000000e+00
84	2.0801013336e-02	9.9729460478e-01	8.6507033557e-03	1.0000000000e+00
85	2.7647987008e-02	9.9182587862e-01	1.7093446106e-02	9.9212598801e-01
86	1.8195472658e-02	9.9609375000e-01	3.2174669206e-02	9.9609375000e-01
87	3.7965603173e-02	9.8917853832e-01	1.6068767756e-02	9.9804687500e-01
