Label	Class	n_sample
0	dogs	791
1	cats	791

Epoch	AvgTrainLoss	AvgTrainAcc	AvgValLoss	AvgValAcc
101	6.5864014626e-01	5.9165221453e-01	6.7991346121e-01	5.6329113245e-01
102	6.6641670465e-01	5.8355033398e-01	6.7874157429e-01	6.0126584768e-01
103	6.6034805775e-01	6.1335355043e-01	6.8430519104e-01	5.8860760927e-01
104	6.6327702999e-01	5.8326101303e-01	6.8765842915e-01	6.3924050331e-01
105	6.5892338753e-01	6.1848956347e-01	6.7672258615e-01	6.2658226490e-01
106	6.5818887949e-01	6.1668115854e-01	6.7081236839e-01	6.0759490728e-01
107	6.5322238207e-01	6.1603009701e-01	6.6476929188e-01	6.0759490728e-01
108	6.5418994427e-01	6.0988134146e-01	6.6095590591e-01	5.8860760927e-01
109	6.5716636181e-01	6.1089408398e-01	6.5977990627e-01	6.2025314569e-01
110	6.5871340036e-01	6.1168980598e-01	6.7786443233e-01	6.1392402649e-01
111	6.5638476610e-01	5.9317129850e-01	6.7691493034e-01	6.0759490728e-01
112	6.6046959162e-01	5.9989875555e-01	6.6942393780e-01	6.0759490728e-01
113	6.5772813559e-01	6.1349827051e-01	6.8085771799e-01	6.0126584768e-01
114	6.6053271294e-01	5.9288197756e-01	6.7431086302e-01	6.1392402649e-01
115	6.5954327583e-01	6.0271990299e-01	6.7093032598e-01	6.3291138411e-01
116	6.4833492041e-01	6.1422163248e-01	6.6373926401e-01	5.9493672848e-01
117	6.5075749159e-01	6.2572336197e-01	6.6377723217e-01	6.0759490728e-01
118	6.4717018604e-01	6.2333625555e-01	6.6657978296e-01	5.7594937086e-01
119	6.5526193380e-01	5.9888601303e-01	6.7162263393e-01	6.4556962252e-01
120	6.5136843920e-01	6.1704283953e-01	6.6878348589e-01	6.0759490728e-01
121	6.3653659821e-01	6.4510995150e-01	6.6703176498e-01	6.2025314569e-01
122	6.4447200298e-01	6.3071471453e-01	6.6604447365e-01	6.0126584768e-01
123	6.4653861523e-01	6.2160009146e-01	6.7358106375e-01	6.2025314569e-01
124	6.5418982506e-01	6.2543404102e-01	6.5441304445e-01	6.1392402649e-01
125	6.4164453745e-01	6.3823783398e-01	6.5310961008e-01	6.2658226490e-01
126	6.4903771877e-01	6.2912327051e-01	6.5907424688e-01	6.4556962252e-01
127	6.5757304430e-01	6.0778355598e-01	6.5776574612e-01	6.2025314569e-01
128	6.5850114822e-01	6.1718750000e-01	6.6333734989e-01	6.5189874172e-01
129	6.5608459711e-01	6.0792821646e-01	6.6584408283e-01	6.2658226490e-01
130	6.4682763815e-01	6.2912327051e-01	6.5928024054e-01	6.3291138411e-01
131	6.5938645601e-01	6.0091143847e-01	6.8528217077e-01	5.9493672848e-01
132	6.6373890638e-01	6.0901331902e-01	6.7095655203e-01	6.0126584768e-01
133	6.5143954754e-01	6.1921292543e-01	6.7735099792e-01	5.9493672848e-01
134	6.5477341413e-01	6.0879629850e-01	6.7647945881e-01	5.9493672848e-01
135	6.5059655905e-01	6.1393231153e-01	6.8839424849e-01	5.9493672848e-01
136	6.4622867107e-01	6.2861686945e-01	6.8633842468e-01	5.7594937086e-01
137	6.4161908627e-01	6.2275749445e-01	6.8391937017e-01	6.0759490728e-01
138	6.5959304571e-01	5.9859663248e-01	6.7654365301e-01	5.8860760927e-01
139	6.5095156431e-01	6.1393231153e-01	6.7406451702e-01	6.1392402649e-01
140	6.5614980459e-01	5.9686052799e-01	6.7180317640e-01	6.1392402649e-01
141	6.5201032162e-01	6.0633677244e-01	6.7220294476e-01	5.8227849007e-01
142	6.6082447767e-01	5.8304399252e-01	6.8772107363e-01	5.4430377483e-01
143	6.4660435915e-01	6.1487269402e-01	6.7410087585e-01	5.9493672848e-01
144	6.4377456903e-01	6.1892360449e-01	6.7680573463e-01	6.5189874172e-01
145	6.4328277111e-01	6.2586802244e-01	6.7150551081e-01	6.3924050331e-01
146	6.4997440577e-01	6.2037038803e-01	6.7120003700e-01	6.2025314569e-01
147	6.4295905828e-01	6.1783856153e-01	6.6712480783e-01	6.0126584768e-01
148	6.4387017488e-01	6.1668115854e-01	6.6525793076e-01	5.6329113245e-01
149	6.4384216070e-01	6.2521702051e-01	6.6808915138e-01	5.7594937086e-01
150	6.4488613605e-01	6.2803822756e-01	6.6884601116e-01	5.8227849007e-01
