Label	Class	n_sample
0	dogs	791
1	cats	791

Epoch	AvgTrainLoss	AvgTrainAcc	AvgValLoss	AvgValAcc
51	6.7483609915e-01	5.7841438055e-01	6.7839717865e-01	5.7594937086e-01
52	6.7315870523e-01	5.9809029102e-01	6.8498528004e-01	5.8227849007e-01
53	6.6162484884e-01	5.9758394957e-01	6.9301831722e-01	5.8860760927e-01
54	6.7089843750e-01	5.9490740299e-01	6.7707633972e-01	5.6962025166e-01
55	6.7074441910e-01	6.0763889551e-01	6.8648809195e-01	5.6962025166e-01
56	6.6546523571e-01	6.0366028547e-01	6.7728549242e-01	5.7594937086e-01
57	6.7046779394e-01	6.1168980598e-01	6.7037153244e-01	6.0126584768e-01
58	6.6354066133e-01	5.9563082457e-01	6.7811399698e-01	6.2658226490e-01
59	6.6957968473e-01	5.7667821646e-01	6.7133539915e-01	5.6329113245e-01
60	6.6559791565e-01	6.0655385256e-01	6.7610889673e-01	5.6329113245e-01
61	6.7740505934e-01	5.8145254850e-01	6.7326271534e-01	5.8860760927e-01
62	6.7061740160e-01	5.8109086752e-01	6.7231839895e-01	5.3164559603e-01
63	6.7236948013e-01	6.0879629850e-01	6.7784231901e-01	5.4430377483e-01
64	6.6929584742e-01	5.8449071646e-01	6.8351298571e-01	5.6962025166e-01
65	6.6155505180e-01	6.0112845898e-01	6.7847430706e-01	5.1898735762e-01
66	6.5855729580e-01	6.0120081902e-01	6.7522305250e-01	5.4430377483e-01
67	6.6864997149e-01	5.9997105598e-01	6.6984379292e-01	5.9493672848e-01
68	6.6960000992e-01	6.0604745150e-01	6.7519080639e-01	5.6962025166e-01
69	6.6497433186e-01	5.8875864744e-01	6.6869646311e-01	5.3797465563e-01
70	6.5558904409e-01	6.1277490854e-01	6.6352707148e-01	5.5063289404e-01
71	6.6343933344e-01	6.1617475748e-01	6.6841584444e-01	5.8227849007e-01
72	6.5456008911e-01	6.2362557650e-01	6.6949480772e-01	5.9493672848e-01
73	6.5954858065e-01	6.0402196646e-01	6.7618006468e-01	5.8860760927e-01
74	6.5945655107e-01	5.9946471453e-01	6.6423732042e-01	6.0759490728e-01
75	6.5044206381e-01	6.1928528547e-01	6.7223376036e-01	5.5063289404e-01
76	6.5467685461e-01	6.1682581902e-01	6.6860389709e-01	5.9493672848e-01
77	6.6937333345e-01	5.8383971453e-01	6.7169094086e-01	6.0759490728e-01
78	6.5905624628e-01	5.9787327051e-01	6.7405509949e-01	5.5696201324e-01
79	6.5443342924e-01	6.2543404102e-01	6.7451834679e-01	5.7594937086e-01
80	6.6791754961e-01	6.0199654102e-01	6.7611914873e-01	5.6962025166e-01
81	6.5465521812e-01	6.2832754850e-01	6.7309123278e-01	5.8227849007e-01
82	6.6123288870e-01	6.1458331347e-01	6.6843569279e-01	5.6962025166e-01
83	6.5993314981e-01	5.9874135256e-01	6.6955167055e-01	5.6329113245e-01
84	6.6000133753e-01	6.0655385256e-01	6.7160487175e-01	5.6962025166e-01
85	6.5673744678e-01	6.1140042543e-01	6.7287200689e-01	5.6962025166e-01
86	6.6130036116e-01	6.0026043653e-01	6.7479801178e-01	5.9493672848e-01
87	6.5688657761e-01	6.0923033953e-01	6.7361515760e-01	5.6962025166e-01
88	6.5391212702e-01	6.1103874445e-01	6.8603754044e-01	5.0632911921e-01
89	6.5882790089e-01	5.9411168098e-01	6.8793910742e-01	5.8860760927e-01
90	6.4974945784e-01	6.1689811945e-01	6.8213093281e-01	5.6962025166e-01
91	6.4743441343e-01	6.2897855043e-01	6.7936533689e-01	5.8227849007e-01
92	6.5467453003e-01	6.3411456347e-01	6.6850727797e-01	5.8227849007e-01
93	6.6054391861e-01	6.0865163803e-01	6.7476183176e-01	5.6962025166e-01
94	6.5793997049e-01	6.1653643847e-01	6.6557198763e-01	6.0126584768e-01
95	6.5372079611e-01	6.2579572201e-01	6.6732960939e-01	5.6329113245e-01
96	6.4676874876e-01	6.2463831902e-01	6.6649490595e-01	5.7594937086e-01
97	6.4901274443e-01	6.2586802244e-01	6.6881841421e-01	5.6962025166e-01
98	6.4915198088e-01	6.2528938055e-01	6.6309899092e-01	6.0126584768e-01
99	6.5029758215e-01	6.1385995150e-01	6.6442441940e-01	6.2025314569e-01
100	6.5337991714e-01	6.2594038248e-01	6.6751050949e-01	5.9493672848e-01
