Label	Class	n_sample
0	dogs	791
1	cats	791

Epoch	AvgTrainLoss	AvgTrainAcc	AvgValLoss	AvgValAcc
1	6.9460391998e-01	4.9001738429e-01	6.9255113602e-01	5.0000000000e-01
2	6.9212156534e-01	5.0998264551e-01	6.9250953197e-01	5.0000000000e-01
3	6.9285053015e-01	5.2018231153e-01	6.9271481037e-01	5.5696201324e-01
4	6.9298595190e-01	5.1309317350e-01	6.9317770004e-01	5.0000000000e-01
5	6.9255155325e-01	5.1721644402e-01	6.9186156988e-01	5.8227849007e-01
6	6.9152951241e-01	5.2184605598e-01	6.8860834837e-01	5.0632911921e-01
7	6.8953436613e-01	5.0405091047e-01	6.8097501993e-01	5.6962025166e-01
8	6.8761754036e-01	5.4419851303e-01	6.7938446999e-01	5.4430377483e-01
9	6.7926090956e-01	5.6655091047e-01	6.6658717394e-01	5.7594937086e-01
10	6.7520952225e-01	5.8072918653e-01	6.7795288563e-01	5.5063289404e-01
11	6.7616057396e-01	5.7212096453e-01	6.7377841473e-01	5.8227849007e-01
12	6.8054312468e-01	5.6705731153e-01	6.7066305876e-01	5.4430377483e-01
13	6.7674940825e-01	5.8203125000e-01	6.6942429543e-01	5.1898735762e-01
14	6.7856597900e-01	5.8767360449e-01	6.7106693983e-01	6.0126584768e-01
15	6.7766278982e-01	5.6141489744e-01	6.7523461580e-01	6.1392402649e-01
16	6.7389965057e-01	5.7638889551e-01	6.4538514614e-01	5.7594937086e-01
17	6.8347764015e-01	5.8166956902e-01	6.5154457092e-01	6.3291138411e-01
18	6.6241568327e-01	5.8304399252e-01	6.6419106722e-01	5.8227849007e-01
19	6.7636793852e-01	5.8738428354e-01	6.7538821697e-01	5.3164559603e-01
20	6.7091441154e-01	5.9114581347e-01	6.8661189079e-01	4.8101267219e-01
21	6.6596764326e-01	5.9620946646e-01	6.8780761957e-01	4.8734176159e-01
22	6.6348153353e-01	5.9982639551e-01	6.7087769508e-01	5.3164559603e-01
23	6.6027259827e-01	6.1501735449e-01	6.7754530907e-01	5.1898735762e-01
24	6.6233485937e-01	6.1241322756e-01	6.8378436565e-01	4.9367088079e-01
25	6.6005837917e-01	6.1357063055e-01	6.6196578741e-01	5.5696201324e-01
26	6.5023821592e-01	6.2015336752e-01	6.8428629637e-01	5.2531647682e-01
27	6.4466422796e-01	6.4069730043e-01	6.6404151917e-01	5.3164559603e-01
28	6.6201281548e-01	5.9635418653e-01	6.6210234165e-01	5.8860760927e-01
29	6.5603089333e-01	6.1451101303e-01	6.4209127426e-01	5.8227849007e-01
30	6.5493518114e-01	6.1255788803e-01	6.5650165081e-01	5.3797465563e-01
31	6.5333414078e-01	6.0951966047e-01	6.6150128841e-01	5.8227849007e-01
32	6.6282993555e-01	6.0807293653e-01	6.6243648529e-01	5.4430377483e-01
33	6.5629363060e-01	6.0865163803e-01	6.6241496801e-01	5.3797465563e-01
34	6.5142506361e-01	6.1711519957e-01	6.5316581726e-01	5.7594937086e-01
35	6.5713381767e-01	6.0626447201e-01	6.5155190229e-01	5.5696201324e-01
36	6.6006517410e-01	6.1060476303e-01	6.5526020527e-01	6.2025314569e-01
37	6.3498741388e-01	6.3375288248e-01	6.8086898327e-01	5.1898735762e-01
38	6.4529418945e-01	6.3281250000e-01	6.6247040033e-01	5.5063289404e-01
39	6.5026777983e-01	6.4373552799e-01	6.5501439571e-01	6.0759490728e-01
40	6.4647698402e-01	6.3129341602e-01	6.5130114555e-01	5.6329113245e-01
41	6.4177554846e-01	6.4142072201e-01	6.4624005556e-01	6.2025314569e-01
42	6.3331270218e-01	6.4641207457e-01	6.4495557547e-01	6.1392402649e-01
43	6.4039033651e-01	6.4605033398e-01	6.4564591646e-01	5.9493672848e-01
44	6.4140093327e-01	6.1950230598e-01	6.5800231695e-01	5.6962025166e-01
45	6.3976323605e-01	6.5227144957e-01	7.2053700686e-01	5.1265823841e-01
46	6.2183266878e-01	6.5010124445e-01	6.8659931421e-01	5.4430377483e-01
47	6.3607692719e-01	6.4359086752e-01	6.7124319077e-01	5.5696201324e-01
48	6.2732940912e-01	6.4120370150e-01	6.9105082750e-01	5.6329113245e-01
49	6.3774269819e-01	6.4257812500e-01	6.5787845850e-01	6.2025314569e-01
50	6.4008504152e-01	6.1935764551e-01	6.6361206770e-01	5.6962025166e-01
