Label	Class	n_sample
0	dogs	791
1	cats	791

Epoch	AvgTrainLoss	AvgTrainAcc	AvgValLoss	AvgValAcc
151	7.7919816971e-01	6.2536168098e-01	6.4126878977e-01	6.3924050331e-01
152	6.1713618040e-01	6.6977721453e-01	5.8643084764e-01	7.2151899338e-01
153	5.7359021902e-01	7.3596644402e-01	5.6844419241e-01	7.2151899338e-01
154	5.3842276335e-01	7.3177081347e-01	5.2486389875e-01	7.4683547020e-01
155	5.1271110773e-01	7.5195312500e-01	5.0790321827e-01	7.4683547020e-01
156	5.1658463478e-01	7.3763018847e-01	5.9024995565e-01	7.3417723179e-01
157	5.0501734018e-01	7.7126735449e-01	5.2794891596e-01	7.1518987417e-01
158	5.1424556971e-01	7.5245952606e-01	5.7091069221e-01	7.4050635099e-01
159	4.8084378242e-01	7.8284144402e-01	4.8721751571e-01	7.4683547020e-01
160	4.6677431464e-01	7.8059893847e-01	4.7130662203e-01	7.6582276821e-01
161	4.5364797115e-01	7.9137730598e-01	4.7721308470e-01	7.5949364901e-01
162	4.4531682134e-01	7.8653067350e-01	4.9013030529e-01	7.5316452980e-01
163	4.3299308419e-01	8.0736398697e-01	5.6404769421e-01	7.7215188742e-01
164	4.6441146731e-01	7.8038191795e-01	6.1345195770e-01	7.5316452980e-01
165	4.8412919044e-01	7.7683734894e-01	4.8798745871e-01	7.4050635099e-01
166	4.7371876240e-01	7.7589702606e-01	4.8411729932e-01	7.2784811258e-01
167	4.7290918231e-01	7.7806711197e-01	4.7324168682e-01	7.4683547020e-01
168	4.4789955020e-01	7.9282408953e-01	4.8790881038e-01	7.5316452980e-01
169	4.3532046676e-01	7.9564523697e-01	5.2311319113e-01	7.4683547020e-01
170	4.3218234181e-01	8.1329566240e-01	5.3763496876e-01	7.1518987417e-01
171	4.5609748363e-01	7.9087096453e-01	5.2455884218e-01	7.2151899338e-01
172	4.3158528209e-01	8.0150461197e-01	5.0053691864e-01	7.4683547020e-01
173	4.2238584161e-01	7.9506653547e-01	5.1249253750e-01	7.3417723179e-01
174	4.4201973081e-01	7.9376441240e-01	5.4276543856e-01	7.2784811258e-01
175	4.3495854735e-01	7.9166668653e-01	5.2455729246e-01	7.2784811258e-01
176	4.5414730906e-01	7.8732639551e-01	5.0023305416e-01	7.4050635099e-01
177	4.5648440719e-01	7.7806711197e-01	5.4273200035e-01	7.4683547020e-01
178	4.4930896163e-01	7.8342014551e-01	5.6466305256e-01	7.3417723179e-01
179	4.4158446789e-01	7.9007524252e-01	5.1520937681e-01	7.7215188742e-01
180	4.1559645534e-01	8.1293398142e-01	5.1076596975e-01	7.4683547020e-01
181	4.2608520389e-01	8.0143231153e-01	5.1607728004e-01	7.4683547020e-01
182	4.4790112972e-01	8.0063658953e-01	5.0645917654e-01	7.2784811258e-01
183	4.9038568139e-01	7.5419563055e-01	5.1803380251e-01	7.1518987417e-01
184	4.5358499885e-01	7.9159432650e-01	5.1329201460e-01	7.3417723179e-01
185	4.4769513607e-01	7.7719908953e-01	5.4235321283e-01	7.4050635099e-01
186	4.2061790824e-01	8.1004047394e-01	5.4407358170e-01	7.4050635099e-01
187	4.4170340896e-01	7.8537327051e-01	5.4162508249e-01	7.1518987417e-01
188	4.4639888406e-01	7.8291374445e-01	5.5082589388e-01	7.3417723179e-01
189	4.1897985339e-01	8.1018519402e-01	5.5365639925e-01	7.4050635099e-01
190	4.3697127700e-01	7.9014754295e-01	5.4851317406e-01	7.2784811258e-01
191	4.3280640244e-01	8.0447047949e-01	5.5121010542e-01	7.4050635099e-01
192	4.1620859504e-01	8.1481480598e-01	5.6188106537e-01	7.0886075497e-01
193	4.1805052757e-01	8.0526620150e-01	5.4081040621e-01	7.2784811258e-01
194	4.2029079795e-01	8.0729168653e-01	5.3359389305e-01	7.3417723179e-01
195	4.6339425445e-01	7.7734375000e-01	6.4922505617e-01	7.0886075497e-01
196	4.9771034718e-01	7.5303816795e-01	5.6628382206e-01	7.3417723179e-01
197	4.8555126786e-01	7.7032691240e-01	5.0977134705e-01	7.2784811258e-01
198	4.4419455528e-01	7.7994793653e-01	4.9983254075e-01	7.5949364901e-01
199	4.2949557304e-01	8.0114293098e-01	5.3411346674e-01	7.4050635099e-01
200	4.1883647442e-01	7.9911750555e-01	5.3918910027e-01	7.0886075497e-01
