Label	Class	n_sample
0	dogs	791
1	cats	791

Epoch	AvgTrainLoss	AvgTrainAcc	AvgValLoss	AvgValAcc
1	7.2854709625e-01	5.0824654102e-01	6.9315910339e-01	5.0000000000e-01
2	6.9322586060e-01	4.9891492724e-01	6.9314253330e-01	5.0000000000e-01
3	6.9312185049e-01	4.9869790673e-01	6.9257664680e-01	5.0000000000e-01
4	6.9223874807e-01	5.0130206347e-01	6.9150644541e-01	5.0632911921e-01
5	6.9244843721e-01	5.0368922949e-01	6.9312763214e-01	5.0000000000e-01
6	6.9325584173e-01	4.9797454476e-01	6.9314438105e-01	5.0000000000e-01
7	6.9315576553e-01	5.0303822756e-01	6.9309371710e-01	5.0000000000e-01
8	6.9308334589e-01	4.9848091602e-01	6.9256532192e-01	5.0000000000e-01
9	6.9245624542e-01	5.0368922949e-01	6.9321990013e-01	5.0000000000e-01
10	6.9590884447e-01	5.3378182650e-01	6.8084114790e-01	5.2531647682e-01
11	6.8653780222e-01	5.3342014551e-01	6.9351929426e-01	5.0000000000e-01
12	6.9091159105e-01	5.0000000000e-01	6.8712359667e-01	5.0000000000e-01
13	6.8416684866e-01	5.0376158953e-01	6.8343108892e-01	4.6202531457e-01
14	6.8040370941e-01	5.9461802244e-01	6.7436844110e-01	5.5696201324e-01
15	6.6874903440e-01	6.2405961752e-01	6.6808056831e-01	5.5696201324e-01
16	6.6415852308e-01	6.4257812500e-01	7.5301396847e-01	5.6962025166e-01
17	6.8603962660e-01	5.6076389551e-01	6.6801947355e-01	5.6962025166e-01
18	6.4870834351e-01	6.4937788248e-01	6.9786280394e-01	5.5696201324e-01
19	6.6457974911e-01	6.1212384701e-01	6.6305327415e-01	5.8860760927e-01
20	6.4129221439e-01	6.5183740854e-01	6.7247486115e-01	6.3291138411e-01
21	6.3425874710e-01	6.4445894957e-01	6.9575840235e-01	5.9493672848e-01
22	6.3768875599e-01	6.4301216602e-01	6.4642369747e-01	6.0759490728e-01
23	6.3641184568e-01	6.4547163248e-01	6.6736531258e-01	6.0126584768e-01
24	6.3838380575e-01	6.4402490854e-01	6.9377464056e-01	5.8860760927e-01
25	6.3194137812e-01	6.5509259701e-01	6.4767473936e-01	6.2658226490e-01
26	6.1982613802e-01	6.6710066795e-01	6.5716648102e-01	6.2025314569e-01
27	6.2709462643e-01	6.6673898697e-01	6.7422688007e-01	6.0759490728e-01
28	6.2680917978e-01	6.5060764551e-01	6.5221297741e-01	5.8860760927e-01
29	6.2412089109e-01	6.5747976303e-01	6.6444319487e-01	6.0126584768e-01
30	6.1286354065e-01	6.5248841047e-01	7.7313625813e-01	5.8227849007e-01
31	6.1768233776e-01	6.5400749445e-01	6.8890827894e-01	5.8860760927e-01
32	6.0303086042e-01	6.7795139551e-01	6.6213953495e-01	6.3291138411e-01
33	6.0798251629e-01	6.7115163803e-01	6.4743542671e-01	6.3291138411e-01
34	6.0655516386e-01	6.7867475748e-01	6.8371111155e-01	6.1392402649e-01
35	5.9244203568e-01	6.8004918098e-01	7.4962967634e-01	6.2025314569e-01
36	5.9033435583e-01	6.8265336752e-01	6.7015993595e-01	6.4556962252e-01
37	6.0065835714e-01	6.7418980598e-01	6.5952271223e-01	6.1392402649e-01
38	5.8455044031e-01	7.0044851303e-01	6.6805714369e-01	6.3924050331e-01
39	5.8754450083e-01	6.8706601858e-01	7.2930449247e-01	6.3924050331e-01
40	5.8122092485e-01	6.9574648142e-01	6.4529001713e-01	6.3291138411e-01
41	5.7412797213e-01	6.8482351303e-01	6.5974235535e-01	6.5822786093e-01
42	5.9605973959e-01	6.8901914358e-01	6.2569117546e-01	6.4556962252e-01
43	5.6416207552e-01	7.2099250555e-01	6.2211328745e-01	6.5189874172e-01
44	5.4080080986e-01	7.2735816240e-01	5.7770401239e-01	6.7088609934e-01
45	6.1333721876e-01	6.8395543098e-01	6.3157582283e-01	6.1392402649e-01
46	6.3828384876e-01	6.5147572756e-01	6.7642825842e-01	5.6329113245e-01
47	6.0967952013e-01	6.7129629850e-01	7.8390669823e-01	6.3924050331e-01
48	5.9214735031e-01	6.8547457457e-01	6.7698502541e-01	5.8860760927e-01
49	5.6788867712e-01	7.0695894957e-01	6.4636081457e-01	6.4556962252e-01
50	5.6922161579e-01	6.9972515106e-01	6.2216484547e-01	6.0126584768e-01
51	6.1798304319e-01	6.4518231153e-01	6.5513575077e-01	6.9620251656e-01
52	5.8264976740e-01	6.8026620150e-01	5.7901459932e-01	7.2784811258e-01
53	5.8138436079e-01	7.0522278547e-01	5.5245625973e-01	7.0886075497e-01
54	5.5027705431e-01	7.1752023697e-01	5.5456191301e-01	7.1518987417e-01
55	5.4930955172e-01	7.2511577606e-01	5.6709384918e-01	6.9620251656e-01
56	5.2318954468e-01	7.4240452051e-01	5.5753540993e-01	7.0886075497e-01
57	5.4235875607e-01	7.2880500555e-01	5.4245215654e-01	7.1518987417e-01
58	5.1152789593e-01	7.5238710642e-01	5.7210940123e-01	7.2151899338e-01
59	5.1688677073e-01	7.4168109894e-01	5.5372554064e-01	7.0886075497e-01
60	5.0348001719e-01	7.5875288248e-01	5.7053250074e-01	7.2151899338e-01
61	5.1833987236e-01	7.4175351858e-01	5.6071001291e-01	7.2784811258e-01
