Label	Class	n_sample
0	dogs	791
1	cats	791

Epoch	AvgTrainLoss	AvgTrainAcc	AvgValLoss	AvgValAcc
201	6.2522947788e-01	6.5776908398e-01	5.6599009037e-01	7.0886075497e-01
202	6.0732382536e-01	6.6818577051e-01	5.7138127089e-01	6.8987339735e-01
203	6.1314660311e-01	6.6912621260e-01	5.7044184208e-01	6.8987339735e-01
204	6.1770462990e-01	6.5516489744e-01	5.6588107347e-01	7.2784811258e-01
205	6.1840170622e-01	6.5943288803e-01	5.6478899717e-01	7.2784811258e-01
206	6.0910767317e-01	6.6760706902e-01	5.6983166933e-01	7.0253163576e-01
207	6.0791021585e-01	6.6948789358e-01	5.7259553671e-01	6.9620251656e-01
208	6.0811233521e-01	6.7397278547e-01	5.7183468342e-01	6.9620251656e-01
209	6.1445450783e-01	6.6196471453e-01	5.7166719437e-01	6.9620251656e-01
210	6.1244046688e-01	6.6297739744e-01	5.7253277302e-01	6.8987339735e-01
211	6.1323958635e-01	6.6840273142e-01	5.7320547104e-01	6.9620251656e-01
212	6.0274553299e-01	6.7708331347e-01	5.7507950068e-01	6.8354427814e-01
213	6.1382174492e-01	6.6189235449e-01	5.8024847507e-01	6.8354427814e-01
214	6.0641652346e-01	6.7990452051e-01	5.8044141531e-01	6.8354427814e-01
215	6.0931140184e-01	6.6804105043e-01	5.7642138004e-01	6.9620251656e-01
216	6.1030387878e-01	6.6579860449e-01	5.7382911444e-01	6.9620251656e-01
217	6.1875694990e-01	6.6956019402e-01	5.7558393478e-01	7.0253163576e-01
218	6.2040328979e-01	6.4850980043e-01	5.7947951555e-01	6.8987339735e-01
219	6.1794096231e-01	6.5212672949e-01	5.7984071970e-01	6.9620251656e-01
220	6.2259989977e-01	6.6767936945e-01	5.8093655109e-01	6.9620251656e-01
221	6.2438589334e-01	6.4959490299e-01	5.8395147324e-01	6.8354427814e-01
222	6.1333280802e-01	6.6702836752e-01	5.8787488937e-01	6.5822786093e-01
223	6.1019486189e-01	6.7484086752e-01	5.8423912525e-01	6.8354427814e-01
224	6.0380154848e-01	6.7476850748e-01	5.8345997334e-01	6.7721521854e-01
225	6.0598534346e-01	6.8692129850e-01	5.8452200890e-01	6.7088609934e-01
226	5.9771472216e-01	6.8648725748e-01	5.8187609911e-01	6.7088609934e-01
227	6.0794645548e-01	6.6753476858e-01	5.8115047216e-01	6.7088609934e-01
228	6.0614067316e-01	6.6587096453e-01	5.7752913237e-01	6.7721521854e-01
229	6.0517126322e-01	6.5675634146e-01	5.7727718353e-01	6.8354427814e-01
230	6.2402755022e-01	6.5248841047e-01	5.7986897230e-01	6.6455698013e-01
231	6.0625010729e-01	6.8070024252e-01	5.8112239838e-01	6.7088609934e-01
232	5.9832841158e-01	6.8156832457e-01	5.8694690466e-01	6.5822786093e-01
233	6.0367280245e-01	6.7541956902e-01	5.8329284191e-01	6.5189874172e-01
234	6.0301429033e-01	6.7281538248e-01	5.8352637291e-01	6.5822786093e-01
235	6.0175436735e-01	6.6623264551e-01	5.8063930273e-01	6.7088609934e-01
236	6.0868859291e-01	6.6659432650e-01	5.8184164762e-01	6.6455698013e-01
237	6.1110061407e-01	6.6934317350e-01	5.7972604036e-01	6.8354427814e-01
238	6.1699110270e-01	6.5603297949e-01	5.7913851738e-01	6.9620251656e-01
239	6.0849517584e-01	6.6869211197e-01	5.7231974602e-01	6.9620251656e-01
240	6.2768006325e-01	6.5885418653e-01	5.7323086262e-01	7.0253163576e-01
241	6.1100828648e-01	6.6652196646e-01	5.7719951868e-01	7.0253163576e-01
242	6.1585563421e-01	6.6218167543e-01	5.8934718370e-01	6.4556962252e-01
243	5.9495836496e-01	6.7925351858e-01	5.9817677736e-01	6.2025314569e-01
244	6.0695523024e-01	6.7071753740e-01	5.8222383261e-01	6.6455698013e-01
245	6.1041301489e-01	6.8171292543e-01	5.8250319958e-01	6.7721521854e-01
246	5.9709411860e-01	6.9285297394e-01	5.8422529697e-01	6.5822786093e-01
247	6.1632382870e-01	6.6999417543e-01	5.8387082815e-01	6.8354427814e-01
248	6.0980582237e-01	6.7997688055e-01	5.8385854959e-01	6.8354427814e-01
249	6.0234063864e-01	6.8315976858e-01	5.8487194777e-01	6.7721521854e-01
250	6.0224628448e-01	6.7737269402e-01	5.8771860600e-01	6.4556962252e-01
