Label	Class	n_sample
0	dogs	791
1	cats	791

Epoch	AvgTrainLoss	AvgTrainAcc	AvgValLoss	AvgValAcc
201	4.7766205668e-01	7.9564523697e-01	4.7015833855e-01	7.6582276821e-01
202	4.5386013389e-01	7.8327542543e-01	3.7223884463e-01	8.0379748344e-01
203	3.7916496396e-01	8.2855898142e-01	4.0265968442e-01	8.1012660265e-01
204	3.8579353690e-01	8.2609957457e-01	4.2327281833e-01	7.9113924503e-01
205	3.9157137275e-01	8.1872105598e-01	4.1561135650e-01	8.2278478146e-01
206	3.8522383571e-01	8.3383971453e-01	4.5076230168e-01	7.8481012583e-01
207	3.8376721740e-01	8.2754629850e-01	4.0706601739e-01	8.2278478146e-01
208	3.5549616814e-01	8.4230327606e-01	3.9936077595e-01	8.0379748344e-01
209	3.3428803086e-01	8.5865163803e-01	3.6195188761e-01	8.2911390066e-01
210	3.7127602100e-01	8.2921004295e-01	3.9411187172e-01	8.2911390066e-01
211	3.5705897212e-01	8.3651620150e-01	4.1150462627e-01	7.9746836424e-01
212	3.4163260460e-01	8.4512442350e-01	4.0566197038e-01	8.1645572186e-01
213	3.0631640553e-01	8.7731480598e-01	4.7728392482e-01	7.9113924503e-01
214	3.4127399325e-01	8.5510706902e-01	4.0446123481e-01	8.1645572186e-01
215	3.5143283010e-01	8.3962672949e-01	4.0487548709e-01	8.2911390066e-01
216	3.8419473171e-01	8.2740163803e-01	4.2878115177e-01	7.9746836424e-01
217	3.1752505898e-01	8.6979168653e-01	4.9028834701e-01	7.9746836424e-01
218	3.4493270516e-01	8.4758394957e-01	4.4841071963e-01	7.8481012583e-01
219	3.2856959105e-01	8.5228586197e-01	4.6573951840e-01	7.9113924503e-01
220	3.5871818662e-01	8.3709496260e-01	4.9007192254e-01	8.0379748344e-01
221	3.4604930878e-01	8.3723956347e-01	4.1141819954e-01	8.1012660265e-01
222	3.4452760220e-01	8.4013313055e-01	4.2251160741e-01	8.2278478146e-01
223	3.0210039020e-01	8.7340855598e-01	4.6912944317e-01	8.0379748344e-01
224	3.2251372933e-01	8.5619211197e-01	4.3994748592e-01	8.2911390066e-01
225	2.8902938962e-01	8.6733216047e-01	4.6204444766e-01	7.8481012583e-01
226	2.8411898017e-01	8.7630206347e-01	5.4647356272e-01	7.9746836424e-01
227	3.7535417080e-01	8.4165221453e-01	4.6087926626e-01	7.6582276821e-01
228	3.4257003665e-01	8.5351562500e-01	6.2775242329e-01	7.4050635099e-01
229	3.4756684303e-01	8.4729456902e-01	5.1550996304e-01	7.7848100662e-01
230	3.3022177219e-01	8.5431128740e-01	4.4900417328e-01	8.2278478146e-01
231	3.0465295911e-01	8.6313658953e-01	4.8712781072e-01	8.2278478146e-01
232	3.0403527617e-01	8.6827254295e-01	4.3702003360e-01	8.3544301987e-01
233	2.6858195662e-01	8.7449359894e-01	4.9963191152e-01	8.3544301987e-01
234	2.5750562549e-01	8.9004629850e-01	6.0737258196e-01	8.1012660265e-01
235	2.6716747880e-01	8.9069730043e-01	5.5513674021e-01	8.1012660265e-01
236	2.9896226525e-01	8.7326389551e-01	4.7883495688e-01	8.4177213907e-01
237	2.7736842632e-01	8.7666374445e-01	4.9011743069e-01	8.3544301987e-01
238	2.6918986440e-01	8.8975691795e-01	5.2485269308e-01	8.0379748344e-01
239	2.6812198758e-01	8.8498264551e-01	3.9415955544e-01	8.4177213907e-01
240	2.6117399335e-01	8.8527202606e-01	5.2412229776e-01	8.3544301987e-01
241	2.5999620557e-01	8.8693577051e-01	5.5810087919e-01	8.2278478146e-01
242	2.3840153217e-01	8.9720773697e-01	5.2384918928e-01	8.3544301987e-01
243	2.5092545152e-01	8.8606768847e-01	5.4898416996e-01	8.2278478146e-01
244	2.8252813220e-01	8.7868922949e-01	6.1984908581e-01	7.7848100662e-01
245	2.6400449872e-01	8.9011859894e-01	4.6070572734e-01	8.2278478146e-01
246	2.6766970754e-01	8.9105898142e-01	4.5221391320e-01	8.4810125828e-01
247	2.4805234373e-01	9.0400749445e-01	7.1622622013e-01	7.4683547020e-01
248	2.4831093848e-01	8.9568871260e-01	5.3822594881e-01	7.7848100662e-01
249	2.4098213017e-01	9.0480327606e-01	6.9885545969e-01	7.8481012583e-01
250	2.6282665133e-01	8.9192706347e-01	4.0336009860e-01	7.9746836424e-01
251	2.8561320901e-01	8.8100403547e-01	4.0695258975e-01	8.4177213907e-01
252	2.2955858707e-01	9.0653938055e-01	4.0715050697e-01	8.7341773510e-01
253	2.4532234669e-01	8.9221644402e-01	5.2334988117e-01	8.2911390066e-01
254	2.7918908000e-01	8.8028067350e-01	5.0346618891e-01	7.7215188742e-01
255	2.9138273001e-01	8.7181711197e-01	5.2000027895e-01	7.7215188742e-01
256	3.1876257062e-01	8.6820024252e-01	4.5641726255e-01	7.9113924503e-01
257	2.8641733527e-01	8.8462096453e-01	6.2899130583e-01	7.6582276821e-01
258	2.7550932765e-01	8.7774878740e-01	7.4981290102e-01	7.9113924503e-01
259	2.5681400299e-01	8.8939523697e-01	6.3364714384e-01	7.7215188742e-01
260	2.9217317700e-01	8.6906832457e-01	4.6694889665e-01	7.9746836424e-01
261	2.5619572401e-01	8.9973956347e-01	5.3511059284e-01	8.1012660265e-01
262	2.3914146423e-01	8.9742475748e-01	1.0238271952e+00	7.3417723179e-01
263	2.0904523134e-01	9.1861981153e-01	6.7062336206e-01	7.7848100662e-01
264	2.1950209141e-01	9.0769672394e-01	6.0690826178e-01	7.6582276821e-01
265	2.1905310452e-01	9.0885418653e-01	5.6122893095e-01	8.2911390066e-01
266	2.2047334909e-01	9.1326683760e-01	4.6908065677e-01	8.1012660265e-01
267	2.6146146655e-01	8.8946753740e-01	5.2326655388e-01	7.5949364901e-01
268	2.3118884861e-01	9.0183734894e-01	8.0798220634e-01	7.5316452980e-01
269	2.3196347058e-01	8.9670139551e-01	4.9944782257e-01	8.2911390066e-01
270	2.4625472724e-01	9.0024596453e-01	4.8060965538e-01	8.1645572186e-01
271	2.2906358540e-01	9.0603297949e-01	4.9810317159e-01	8.5443037748e-01
272	2.5228959322e-01	8.9684605598e-01	6.0504740477e-01	8.1645572186e-01
273	3.4239140153e-01	8.4678816795e-01	5.6667751074e-01	6.9620251656e-01
274	3.9369168878e-01	8.2060188055e-01	4.8306351900e-01	7.5949364901e-01
