Label	Class	n_sample
0	dogs	791
1	cats	791

Epoch	AvgTrainLoss	AvgTrainAcc	AvgValLoss	AvgValAcc
1	6.9318670034e-01	5.0151908398e-01	6.9315063953e-01	5.0000000000e-01
2	6.9316929579e-01	5.0202542543e-01	6.9314754009e-01	5.0000000000e-01
3	6.9319516420e-01	4.9392363429e-01	6.9314944744e-01	5.0000000000e-01
4	6.9318062067e-01	5.0101274252e-01	6.9314718246e-01	5.0000000000e-01
5	6.9316601753e-01	4.9594905972e-01	6.9314765930e-01	5.0000000000e-01
6	6.9315004349e-01	5.0050634146e-01	6.9314718246e-01	5.0000000000e-01
7	6.9315546751e-01	4.8350694776e-01	6.9314712286e-01	5.0000000000e-01
8	6.9314795732e-01	4.9631074071e-01	6.9314754009e-01	5.0000000000e-01
9	6.9316297770e-01	4.9898728728e-01	6.9314873219e-01	5.0000000000e-01
10	6.9314759970e-01	5.0101274252e-01	6.9314861298e-01	5.0000000000e-01
11	6.9314813614e-01	5.0101274252e-01	6.9314908981e-01	5.0000000000e-01
12	6.9315290451e-01	5.0101274252e-01	6.9314819574e-01	5.0000000000e-01
13	6.9315880537e-01	4.9797454476e-01	6.9314873219e-01	5.0000000000e-01
14	6.9315367937e-01	4.9949362874e-01	6.9314855337e-01	5.0000000000e-01
15	6.9314855337e-01	5.0050634146e-01	6.9314843416e-01	5.0000000000e-01
16	6.9315236807e-01	4.9848091602e-01	6.9314789772e-01	5.0000000000e-01
17	6.9314640760e-01	5.0050634146e-01	6.9314759970e-01	5.0000000000e-01
18	6.9314575195e-01	5.0303822756e-01	6.9314736128e-01	5.0000000000e-01
19	6.9315689802e-01	4.9746814370e-01	6.9314759970e-01	5.0000000000e-01
20	6.9314980507e-01	5.0455731153e-01	6.9314730167e-01	5.0000000000e-01
21	6.9316715002e-01	4.9240449071e-01	6.9314742088e-01	5.0000000000e-01
22	6.9315141439e-01	4.8806425929e-01	6.9314718246e-01	5.0000000000e-01
23	6.9315427542e-01	4.7149884701e-01	6.9314718246e-01	5.0000000000e-01
24	6.9318038225e-01	4.7612845898e-01	6.9314748049e-01	5.0000000000e-01
25	6.9314628839e-01	5.0151908398e-01	6.9314736128e-01	5.0000000000e-01
26	6.9315940142e-01	4.9544271827e-01	6.9314742088e-01	5.0000000000e-01
27	6.9316697121e-01	4.7873261571e-01	6.9314742088e-01	5.0000000000e-01
28	6.9315391779e-01	4.9594905972e-01	6.9314724207e-01	5.0000000000e-01
29	6.9317406416e-01	4.6730324626e-01	6.9314730167e-01	5.0000000000e-01
30	6.9314962626e-01	5.0050634146e-01	6.9314718246e-01	5.0000000000e-01
31	6.9315338135e-01	4.9594905972e-01	6.9314718246e-01	5.0000000000e-01
32	6.9315057993e-01	4.9327257276e-01	6.9314730167e-01	5.0000000000e-01
33	6.9314986467e-01	5.0050634146e-01	6.9314736128e-01	5.0000000000e-01
34	6.9315761328e-01	4.8177084327e-01	6.9314724207e-01	5.0000000000e-01
35	6.9315695763e-01	4.6997976303e-01	6.9314718246e-01	5.0000000000e-01
36	6.9322234392e-01	4.9291086197e-01	6.9314885139e-01	5.0000000000e-01
37	6.9317001104e-01	5.0253182650e-01	6.9314742088e-01	5.0000000000e-01
38	6.9315952063e-01	5.0000000000e-01	6.9314789772e-01	5.0000000000e-01
39	6.9315069914e-01	5.0000000000e-01	6.9314748049e-01	5.0000000000e-01
40	6.9314628839e-01	5.0303822756e-01	6.9314777851e-01	5.0000000000e-01
41	6.9316762686e-01	4.9544271827e-01	6.9314807653e-01	5.0000000000e-01
42	6.9316083193e-01	5.0050634146e-01	6.9314724207e-01	5.0000000000e-01
43	6.9314867258e-01	5.0202542543e-01	6.9314712286e-01	5.0000000000e-01
44	6.9314903021e-01	5.0000000000e-01	6.9314730167e-01	5.0000000000e-01
45	6.9315034151e-01	5.0101274252e-01	6.9314742088e-01	5.0000000000e-01
46	6.9314640760e-01	5.0506365299e-01	6.9314742088e-01	5.0000000000e-01
47	6.9314724207e-01	5.0000000000e-01	6.9314777851e-01	5.0000000000e-01
48	6.9314891100e-01	5.0000000000e-01	6.9314807653e-01	5.0000000000e-01
49	6.9315534830e-01	4.9797454476e-01	6.9314813614e-01	5.0000000000e-01
50	6.9314455986e-01	5.0202542543e-01	6.9314795732e-01	5.0000000000e-01
