Label	Class	n_sample
0	dogs	791
1	cats	791

Epoch	AvgTrainLoss	AvgTrainAcc	AvgValLoss	AvgValAcc
1	6.9354212284e-01	4.8437500000e-01	6.9323468208e-01	4.9409723282e-01
2	6.9336909056e-01	4.8709240556e-01	6.9322067499e-01	4.9409723282e-01
3	6.9321060181e-01	4.9796196818e-01	6.9338458776e-01	4.8819446564e-01
4	6.9385290146e-01	4.7622281313e-01	6.9312363863e-01	5.0590276718e-01
5	6.9319587946e-01	5.0203806162e-01	6.9315749407e-01	5.0000000000e-01
6	6.9334912300e-01	5.0203806162e-01	6.9292879105e-01	5.1180553436e-01
7	6.9331842661e-01	4.9728259444e-01	6.9315004349e-01	5.0000000000e-01
8	6.9321280718e-01	5.0203806162e-01	6.9307786226e-01	5.0590276718e-01
9	6.9319635630e-01	5.0611412525e-01	6.9298148155e-01	5.1180553436e-01
10	6.9325619936e-01	5.0203806162e-01	6.9327610731e-01	4.9409723282e-01
11	6.9347870350e-01	4.7826087475e-01	6.9316071272e-01	4.8819446564e-01
12	6.9321131706e-01	4.8913043737e-01	6.9316083193e-01	5.0000000000e-01
13	6.9325369596e-01	4.8165759444e-01	6.9317489862e-01	4.9409723282e-01
14	6.9337421656e-01	4.9796196818e-01	6.9308137894e-01	5.0590276718e-01
15	6.9339030981e-01	4.7554346919e-01	6.9306725264e-01	5.1770836115e-01
16	6.9335204363e-01	4.7622281313e-01	6.9313281775e-01	5.0590276718e-01
17	6.9362807274e-01	5.0135868788e-01	6.9314628839e-01	5.0000000000e-01
18	6.9329285622e-01	4.9864131212e-01	6.9315147400e-01	5.0000000000e-01
19	6.9325011969e-01	4.8097825050e-01	6.9302845001e-01	5.1770836115e-01
20	6.9348847866e-01	4.8029890656e-01	6.9349998236e-01	4.8819446564e-01
21	6.9360846281e-01	4.7690218687e-01	6.9323515892e-01	4.9409723282e-01
22	6.9329148531e-01	5.0067937374e-01	6.9327312708e-01	5.0000000000e-01
23	6.9474452734e-01	4.6739131212e-01	6.9291162491e-01	5.1180553436e-01
24	6.9341170788e-01	4.9320653081e-01	6.9329720736e-01	5.0000000000e-01
25	6.9341433048e-01	5.0407606363e-01	6.9304513931e-01	5.1180553436e-01
