Label	Class	n_sample
0	dogs	791
1	cats	791

Epoch	AvgTrainLoss	AvgTrainAcc	AvgValLoss	AvgValAcc
1	6.9326084852e-01	4.9728259444e-01	6.9320172071e-01	4.8819446564e-01
2	6.9328010082e-01	4.7622281313e-01	6.9314688444e-01	4.8229166865e-01
3	6.9332635403e-01	5.0271737576e-01	6.9309830666e-01	5.0590276718e-01
4	6.9339293242e-01	4.7826087475e-01	6.9319057465e-01	4.9409723282e-01
5	6.9323599339e-01	4.8777174950e-01	6.9320392609e-01	4.8819446564e-01
6	6.9331312180e-01	4.7961956263e-01	6.9318389893e-01	4.9409723282e-01
7	6.9344133139e-01	4.9864131212e-01	6.9308048487e-01	5.0590276718e-01
8	6.9337052107e-01	5.0543481112e-01	6.9333869219e-01	4.9409723282e-01
9	6.9331276417e-01	4.9252718687e-01	6.9336062670e-01	4.8229166865e-01
10	6.9342851639e-01	4.8709240556e-01	6.9286233187e-01	5.2361112833e-01
11	6.9329756498e-01	4.8845109344e-01	6.9307065010e-01	5.1180553436e-01
12	6.9330698252e-01	4.8369565606e-01	6.9333499670e-01	4.8819446564e-01
13	6.9326418638e-01	5.0000000000e-01	6.9309878349e-01	5.0590276718e-01
14	6.9319814444e-01	4.8913043737e-01	6.9302129745e-01	5.2951389551e-01
15	6.9342404604e-01	5.0407606363e-01	6.9316142797e-01	5.0000000000e-01
16	6.9374519587e-01	4.9388587475e-01	6.9307965040e-01	5.0590276718e-01
17	6.9340962172e-01	4.9592390656e-01	6.9423764944e-01	4.7048613429e-01
18	6.9321608543e-01	5.0611412525e-01	6.9307941198e-01	5.2361112833e-01
19	6.9336390495e-01	4.9796196818e-01	6.9297415018e-01	5.1180553436e-01
20	6.9344031811e-01	4.8845109344e-01	6.9301050901e-01	5.1770836115e-01
21	6.9353991747e-01	4.8709240556e-01	6.9335848093e-01	4.8819446564e-01
22	6.9364100695e-01	4.5176631212e-01	6.9313591719e-01	5.1770836115e-01
23	6.9334810972e-01	5.0203806162e-01	6.9351243973e-01	5.0000000000e-01
24	6.9354647398e-01	4.8980978131e-01	6.9326955080e-01	4.9409723282e-01
25	6.9388490915e-01	4.9660325050e-01	6.9372725487e-01	4.9409723282e-01
26	6.9317388535e-01	5.0000000000e-01	6.9320458174e-01	4.6458330750e-01
27	6.9360470772e-01	4.9116846919e-01	6.9354444742e-01	4.8819446564e-01
28	6.9304585457e-01	5.0000000000e-01	6.9323652983e-01	4.9409723282e-01
29	6.9323605299e-01	5.0407606363e-01	6.9320726395e-01	5.0000000000e-01
30	6.9339692593e-01	4.8233696818e-01	6.9314146042e-01	5.0590276718e-01
31	6.9327104092e-01	5.0000000000e-01	6.9295758009e-01	5.1180553436e-01
32	6.9328081608e-01	4.9592390656e-01	6.9315809011e-01	5.0000000000e-01
33	6.9330370426e-01	4.8777174950e-01	6.9296783209e-01	5.2951389551e-01
34	6.9301438332e-01	5.1019018888e-01	6.9307851791e-01	5.0590276718e-01
35	6.9341069460e-01	4.9796196818e-01	6.9390422106e-01	4.8819446564e-01
36	6.9356119633e-01	5.0203806162e-01	6.9307535887e-01	5.1770836115e-01
37	6.9322240353e-01	4.8980978131e-01	6.9315749407e-01	5.0000000000e-01
38	6.9325184822e-01	5.0000000000e-01	6.9292956591e-01	5.2361112833e-01
39	6.9321388006e-01	4.9184781313e-01	6.9300454855e-01	5.1770836115e-01
40	6.9326007366e-01	4.9796196818e-01	6.9345170259e-01	4.8819446564e-01
41	6.9339609146e-01	4.9796196818e-01	6.9353634119e-01	4.8229166865e-01
42	6.9319945574e-01	4.9864131212e-01	6.9308233261e-01	5.0590276718e-01
43	6.9358110428e-01	4.9388587475e-01	6.9319230318e-01	5.0000000000e-01
44	6.9364106655e-01	4.8641303182e-01	6.9366025925e-01	4.8819446564e-01
45	6.9330590963e-01	5.0407606363e-01	6.9309598207e-01	5.1180553436e-01
46	6.9331693649e-01	4.9048912525e-01	6.9325000048e-01	4.8819446564e-01
47	6.9328480959e-01	4.7554346919e-01	6.9314700365e-01	5.0000000000e-01
48	6.9325459003e-01	4.9796196818e-01	6.9326239824e-01	4.8229166865e-01
49	6.9324821234e-01	4.8913043737e-01	6.9313699007e-01	5.0590276718e-01
50	6.9348198175e-01	4.9116846919e-01	6.9371199608e-01	4.7048613429e-01
51	6.9372940063e-01	4.8845109344e-01	6.9308310747e-01	5.0590276718e-01
52	6.9321900606e-01	4.8301631212e-01	6.9318574667e-01	4.8819446564e-01
53	6.9334906340e-01	4.9388587475e-01	6.9331949949e-01	4.8229166865e-01
