Label	Class	n_sample
0	dogs	791
1	cats	791

Epoch	AvgTrainLoss	AvgTrainAcc	AvgValLoss	AvgValAcc
1	6.9338506460e-01	4.8369565606e-01	6.9316554070e-01	4.9409723282e-01
2	6.9357568026e-01	4.9796196818e-01	6.9272595644e-01	5.2361112833e-01
3	6.9387602806e-01	4.9796196818e-01	6.9307923317e-01	5.0590276718e-01
4	6.9305837154e-01	5.0815218687e-01	6.9335967302e-01	4.8819446564e-01
5	6.9368821383e-01	4.9388587475e-01	6.9340705872e-01	4.9409723282e-01
6	6.9305282831e-01	5.0815218687e-01	6.9288188219e-01	5.1770836115e-01
7	6.9375383854e-01	4.9388587475e-01	6.9308304787e-01	5.0590276718e-01
8	6.9348150492e-01	4.8913043737e-01	6.9317430258e-01	5.0000000000e-01
9	6.9336217642e-01	4.8301631212e-01	6.9308620691e-01	5.0590276718e-01
10	6.9322973490e-01	5.0407606363e-01	6.9308203459e-01	5.0590276718e-01
11	6.9385850430e-01	4.9388587475e-01	6.9328707457e-01	5.0000000000e-01
12	6.9342511892e-01	5.0000000000e-01	6.9281977415e-01	5.1770836115e-01
13	6.9333171844e-01	4.9796196818e-01	6.9296354055e-01	5.1180553436e-01
14	6.9324457645e-01	4.8709240556e-01	6.9308096170e-01	5.1180553436e-01
15	6.9340384007e-01	4.8709240556e-01	6.9312041998e-01	5.1180553436e-01
16	6.9339561462e-01	4.9592390656e-01	6.9297450781e-01	5.1180553436e-01
17	6.9343948364e-01	4.8301631212e-01	6.9315403700e-01	4.8819446564e-01
18	6.9325262308e-01	5.0000000000e-01	6.9316029549e-01	4.9409723282e-01
19	6.9327551126e-01	4.7622281313e-01	6.9317084551e-01	5.0000000000e-01
20	6.9322484732e-01	4.9592390656e-01	6.9316244125e-01	4.9409723282e-01
21	6.9342434406e-01	4.9728259444e-01	6.9307869673e-01	5.0590276718e-01
22	6.9351112843e-01	4.8573368788e-01	6.9330310822e-01	4.8229166865e-01
23	6.9357109070e-01	4.9932065606e-01	6.9308358431e-01	5.0590276718e-01
24	6.9337296486e-01	4.8097825050e-01	6.9322341681e-01	4.9409723282e-01
25	6.9357353449e-01	5.0000000000e-01	6.9317197800e-01	5.0000000000e-01
26	6.9319713116e-01	4.8641303182e-01	6.9342446327e-01	4.7638890147e-01
27	6.9323158264e-01	5.0203806162e-01	6.9335180521e-01	4.9409723282e-01
28	6.9365155697e-01	5.0000000000e-01	6.9369798899e-01	4.8819446564e-01
29	6.9326162338e-01	4.8980978131e-01	6.9312614202e-01	5.1180553436e-01
30	6.9322925806e-01	5.0203806162e-01	6.9369155169e-01	4.8819446564e-01
31	6.9377934933e-01	4.9388587475e-01	6.9345694780e-01	4.9409723282e-01
32	6.9315069914e-01	5.1019018888e-01	6.9317722321e-01	5.0000000000e-01
33	6.9335508347e-01	5.0203806162e-01	6.9316715002e-01	4.9409723282e-01
34	6.9354462624e-01	4.7486412525e-01	6.9328737259e-01	4.9409723282e-01
35	6.9375687838e-01	4.8165759444e-01	6.9298249483e-01	5.1770836115e-01
36	6.9367742538e-01	4.9320653081e-01	6.9310688972e-01	5.0590276718e-01
37	6.9348955154e-01	4.9388587475e-01	6.9337016344e-01	4.8229166865e-01
38	6.9305551052e-01	5.1086956263e-01	6.9309216738e-01	5.0590276718e-01
39	6.9330513477e-01	5.0000000000e-01	6.9290345907e-01	5.1180553436e-01
40	6.9355851412e-01	4.9184781313e-01	6.9330573082e-01	4.9409723282e-01
41	6.9325017929e-01	4.9864131212e-01	6.9285374880e-01	5.1770836115e-01
42	6.9314408302e-01	5.0611412525e-01	6.9394224882e-01	4.6458330750e-01
43	6.9343274832e-01	5.0203806162e-01	6.9336324930e-01	4.9409723282e-01
44	6.9328790903e-01	5.0611412525e-01	6.9314980507e-01	5.0000000000e-01
45	6.9342678785e-01	4.9796196818e-01	6.9284981489e-01	5.1770836115e-01
46	6.9327968359e-01	4.8777174950e-01	6.9312715530e-01	5.0590276718e-01
47	6.9335669279e-01	4.8505434394e-01	6.9315099716e-01	5.0000000000e-01
48	6.9323444366e-01	4.9320653081e-01	6.9326120615e-01	4.8819446564e-01
49	6.9321990013e-01	5.0407606363e-01	6.9310587645e-01	5.0590276718e-01
50	6.9362348318e-01	4.7486412525e-01	6.9322079420e-01	4.8819446564e-01
51	6.9336986542e-01	4.9252718687e-01	6.9248819351e-01	5.2361112833e-01
52	6.9341897964e-01	4.8980978131e-01	6.9304734468e-01	5.1180553436e-01
53	6.9362211227e-01	4.9116846919e-01	6.9369727373e-01	4.8819446564e-01
54	6.9358468056e-01	4.9796196818e-01	6.9307899475e-01	5.0590276718e-01
55	6.9373452663e-01	4.8437500000e-01	6.9214206934e-01	5.3541666269e-01
