Label	Class	n_sample
0	dogs	791
1	cats	791

Epoch	AvgTrainLoss	AvgTrainAcc	AvgValLoss	AvgValAcc
1	6.9318979979e-01	4.9095773697e-01	6.9314843416e-01	5.0000000000e-01
2	6.9316744804e-01	4.9225983024e-01	6.9314730167e-01	5.0000000000e-01
3	6.9315117598e-01	5.0151908398e-01	6.9314724207e-01	5.0000000000e-01
4	6.9314718246e-01	5.0253182650e-01	6.9314736128e-01	5.0000000000e-01
5	6.9316101074e-01	4.6911168098e-01	6.9314718246e-01	5.0000000000e-01
6	6.9317984581e-01	4.9594905972e-01	6.9314825535e-01	5.0000000000e-01
7	6.9316655397e-01	4.9797454476e-01	6.9314873219e-01	5.0000000000e-01
8	6.9315433502e-01	4.9797454476e-01	6.9314795732e-01	5.0000000000e-01
9	6.9316887856e-01	4.9030670524e-01	6.9314718246e-01	5.0000000000e-01
10	6.9315618277e-01	4.9797454476e-01	6.9314742088e-01	5.0000000000e-01
11	6.9315099716e-01	5.0050634146e-01	6.9314754009e-01	5.0000000000e-01
12	6.9317221642e-01	5.0000000000e-01	6.9314831495e-01	5.0000000000e-01
13	6.9315272570e-01	5.0708913803e-01	6.9314730167e-01	5.0000000000e-01
14	6.9314616919e-01	5.0050634146e-01	6.9314765930e-01	5.0000000000e-01
15	6.9315356016e-01	4.9898728728e-01	6.9314801693e-01	5.0000000000e-01
16	6.9314885139e-01	5.0253182650e-01	6.9314867258e-01	5.0000000000e-01
17	6.9316053391e-01	4.9848091602e-01	6.9314908981e-01	5.0000000000e-01
18	6.9316238165e-01	4.9696180224e-01	6.9314819574e-01	5.0000000000e-01
19	6.9315284491e-01	5.0000000000e-01	6.9314807653e-01	5.0000000000e-01
20	6.9315224886e-01	4.9949362874e-01	6.9314765930e-01	5.0000000000e-01
21	6.9316107035e-01	4.9746814370e-01	6.9314718246e-01	5.0000000000e-01
22	6.9316619635e-01	4.8271122575e-01	6.9314736128e-01	5.0000000000e-01
23	6.9314879179e-01	4.9949362874e-01	6.9314712286e-01	5.0000000000e-01
24	6.9315057993e-01	4.9348959327e-01	6.9314712286e-01	5.0000000000e-01
25	6.9317001104e-01	4.5949074626e-01	6.9314718246e-01	5.0000000000e-01
26	6.9316101074e-01	4.6448206902e-01	6.9314718246e-01	5.0000000000e-01
27	6.9314020872e-01	5.1114004850e-01	6.9314742088e-01	5.0000000000e-01
28	6.9316524267e-01	4.9746814370e-01	6.9314885139e-01	5.0000000000e-01
29	6.9317871332e-01	4.9594905972e-01	6.9314980507e-01	5.0000000000e-01
30	6.9314938784e-01	5.0101274252e-01	6.9314813614e-01	5.0000000000e-01
31	6.9315463305e-01	4.9898728728e-01	6.9314825535e-01	5.0000000000e-01
32	6.9316744804e-01	4.9898728728e-01	6.9314730167e-01	5.0000000000e-01
33	6.9315308332e-01	5.0050634146e-01	6.9314730167e-01	5.0000000000e-01
34	6.9315552711e-01	4.8278355598e-01	6.9314712286e-01	5.0000000000e-01
35	6.9314974546e-01	4.9327257276e-01	6.9314718246e-01	5.0000000000e-01
36	6.9315165281e-01	4.9848091602e-01	6.9314712286e-01	5.0000000000e-01
37	6.9315022230e-01	4.9565970898e-01	6.9314718246e-01	5.0000000000e-01
38	6.9314831495e-01	4.9898728728e-01	6.9314730167e-01	5.0000000000e-01
39	6.9314813614e-01	4.9898728728e-01	6.9314712286e-01	5.0000000000e-01
40	6.9314986467e-01	4.9587675929e-01	6.9314718246e-01	5.0000000000e-01
41	6.9315975904e-01	4.9392363429e-01	6.9314730167e-01	5.0000000000e-01
42	6.9318073988e-01	4.7243925929e-01	6.9314765930e-01	5.0000000000e-01
43	6.9315010309e-01	5.0050634146e-01	6.9314742088e-01	5.0000000000e-01
44	6.9315314293e-01	5.0000000000e-01	6.9314765930e-01	5.0000000000e-01
45	6.9315510988e-01	5.0151908398e-01	6.9314813614e-01	5.0000000000e-01
46	6.9314306974e-01	5.0354456902e-01	6.9314825535e-01	5.0000000000e-01
47	6.9316178560e-01	4.9645543098e-01	6.9314837456e-01	5.0000000000e-01
48	6.9314259291e-01	5.0253182650e-01	6.9314807653e-01	5.0000000000e-01
49	6.9315797091e-01	4.9797454476e-01	6.9314777851e-01	5.0000000000e-01
50	6.9315820932e-01	4.9949362874e-01	6.9314807653e-01	5.0000000000e-01
