Label	Class	n_sample
0	dogs	791
1	cats	791

Epoch	AvgTrainLoss	AvgTrainAcc	AvgValLoss	AvgValAcc
1	6.9315403700e-01	4.8242187500e-01	6.9314718246e-01	5.0000000000e-01
2	6.9315743446e-01	4.9949362874e-01	6.9314742088e-01	5.0000000000e-01
3	6.9315022230e-01	4.9819156528e-01	6.9314730167e-01	5.0000000000e-01
4	6.9318193197e-01	4.9696180224e-01	6.9314783812e-01	5.0000000000e-01
5	6.9315534830e-01	4.8734083772e-01	6.9314718246e-01	5.0000000000e-01
6	6.9315487146e-01	4.9746814370e-01	6.9314730167e-01	5.0000000000e-01
7	6.9316315651e-01	4.9428531528e-01	6.9314789772e-01	5.0000000000e-01
8	6.9319987297e-01	5.0607639551e-01	6.9314754009e-01	5.0000000000e-01
9	6.9316244125e-01	5.0000000000e-01	6.9315075874e-01	5.0000000000e-01
10	6.9315677881e-01	5.0000000000e-01	6.9315046072e-01	5.0000000000e-01
11	6.9315934181e-01	4.9898728728e-01	6.9314998388e-01	5.0000000000e-01
12	6.9316911697e-01	4.9898728728e-01	6.9315087795e-01	5.0000000000e-01
13	6.9316220284e-01	5.0000000000e-01	6.9314759970e-01	5.0000000000e-01
14	6.9315099716e-01	5.0151908398e-01	6.9314718246e-01	5.0000000000e-01
15	6.9315654039e-01	4.8517072201e-01	6.9314712286e-01	5.0000000000e-01
16	6.9316703081e-01	4.9088540673e-01	6.9314789772e-01	5.0000000000e-01
17	6.9316577911e-01	4.9949362874e-01	6.9314825535e-01	5.0000000000e-01
18	6.9315975904e-01	4.9949362874e-01	6.9314777851e-01	5.0000000000e-01
19	6.9314813614e-01	4.9949362874e-01	6.9314730167e-01	5.0000000000e-01
20	6.9315457344e-01	4.9406829476e-01	6.9314730167e-01	5.0000000000e-01
21	6.9316321611e-01	4.8372396827e-01	6.9314718246e-01	5.0000000000e-01
22	6.9315260649e-01	5.0679975748e-01	6.9314783812e-01	5.0000000000e-01
23	6.9315409660e-01	4.9848091602e-01	6.9314795732e-01	5.0000000000e-01
24	6.9317507744e-01	4.8227718472e-01	6.9314736128e-01	5.0000000000e-01
25	6.9317120314e-01	4.9848091602e-01	6.9314777851e-01	5.0000000000e-01
26	6.9316297770e-01	4.9746814370e-01	6.9314759970e-01	5.0000000000e-01
27	6.9319695234e-01	4.7996237874e-01	6.9314944744e-01	5.0000000000e-01
28	6.9318914413e-01	4.9594905972e-01	6.9315087795e-01	5.0000000000e-01
29	6.9316840172e-01	5.0455731153e-01	6.9314742088e-01	5.0000000000e-01
30	6.9315820932e-01	5.0101274252e-01	6.9314730167e-01	5.0000000000e-01
31	6.9320911169e-01	4.9594905972e-01	6.9315010309e-01	5.0000000000e-01
32	6.9321793318e-01	4.9442997575e-01	6.9314992428e-01	5.0000000000e-01
33	6.9315928221e-01	4.9862560630e-01	6.9314801693e-01	5.0000000000e-01
34	6.9313240051e-01	5.0202542543e-01	6.9315224886e-01	5.0000000000e-01
35	6.9317072630e-01	4.9898728728e-01	6.9315755367e-01	5.0000000000e-01
36	6.9314646721e-01	5.0405091047e-01	6.9315350056e-01	5.0000000000e-01
37	6.9313842058e-01	5.0202542543e-01	6.9315683842e-01	5.0000000000e-01
38	6.9318550825e-01	5.0253182650e-01	6.9315332174e-01	5.0000000000e-01
39	6.9318813086e-01	4.9746814370e-01	6.9315952063e-01	5.0000000000e-01
40	6.9319134951e-01	4.9696180224e-01	6.9315534830e-01	5.0000000000e-01
41	6.9315290451e-01	5.0000000000e-01	6.9315195084e-01	5.0000000000e-01
42	6.9317322969e-01	5.0050634146e-01	6.9314765930e-01	5.0000000000e-01
43	6.9316226244e-01	4.6932873130e-01	6.9314712286e-01	5.0000000000e-01
44	6.9315212965e-01	4.9059605598e-01	6.9314742088e-01	5.0000000000e-01
45	6.9315332174e-01	5.0202542543e-01	6.9314843416e-01	5.0000000000e-01
46	6.9318848848e-01	4.9898728728e-01	6.9315171242e-01	5.0000000000e-01
47	6.9315624237e-01	4.9848091602e-01	6.9314891100e-01	5.0000000000e-01
48	6.9314879179e-01	4.9949362874e-01	6.9314748049e-01	5.0000000000e-01
49	6.9315487146e-01	4.9949362874e-01	6.9314718246e-01	5.0000000000e-01
50	6.9316023588e-01	4.9030670524e-01	6.9314843416e-01	5.0000000000e-01
