Label	Class	n_sample
0	dogs	791
1	cats	791

Epoch	AvgTrainLoss	AvgTrainAcc	AvgValLoss	AvgValAcc
1	6.9315147400e-01	4.8770251870e-01	6.9314718246e-01	5.0000000000e-01
2	6.9315528870e-01	5.0253182650e-01	6.9314748049e-01	5.0000000000e-01
3	6.9314509630e-01	5.0202542543e-01	6.9314789772e-01	5.0000000000e-01
4	6.9316691160e-01	4.9797454476e-01	6.9314861298e-01	5.0000000000e-01
5	6.9316315651e-01	5.0050634146e-01	6.9315046072e-01	5.0000000000e-01
6	6.9319576025e-01	4.9442997575e-01	6.9315052032e-01	5.0000000000e-01
7	6.9315814972e-01	4.9898728728e-01	6.9314724207e-01	5.0000000000e-01
8	6.9318789244e-01	4.8278355598e-01	6.9315016270e-01	5.0000000000e-01
9	6.9316631556e-01	4.9949362874e-01	6.9314974546e-01	5.0000000000e-01
10	6.9315975904e-01	4.9949362874e-01	6.9315111637e-01	5.0000000000e-01
11	6.9321399927e-01	4.7468170524e-01	6.9314730167e-01	5.0000000000e-01
12	6.9315582514e-01	4.9746814370e-01	6.9314968586e-01	5.0000000000e-01
13	6.9323223829e-01	4.9645543098e-01	6.9315600395e-01	5.0000000000e-01
14	6.9314426184e-01	5.0253182650e-01	6.9315171242e-01	5.0000000000e-01
15	6.9322735071e-01	4.9544271827e-01	6.9315385818e-01	5.0000000000e-01
16	6.9317531586e-01	4.9696180224e-01	6.9314718246e-01	5.0000000000e-01
17	6.9313484430e-01	5.0202542543e-01	6.9314873219e-01	5.0000000000e-01
18	6.9313359261e-01	5.0303822756e-01	6.9315284491e-01	5.0000000000e-01
19	6.9317656755e-01	4.9797454476e-01	6.9315707684e-01	5.0000000000e-01
20	6.9315844774e-01	5.0000000000e-01	6.9315576553e-01	5.0000000000e-01
21	6.9318121672e-01	5.0000000000e-01	6.9315809011e-01	5.0000000000e-01
22	6.9317942858e-01	4.9898728728e-01	6.9315630198e-01	5.0000000000e-01
23	6.9317525625e-01	4.9645543098e-01	6.9314920902e-01	5.0000000000e-01
24	6.9314414263e-01	4.9949362874e-01	6.9314712286e-01	5.0000000000e-01
25	6.9319486618e-01	4.9493634701e-01	6.9314980507e-01	5.0000000000e-01
26	6.9316631556e-01	4.9848091602e-01	6.9314736128e-01	5.0000000000e-01
27	6.9316154718e-01	4.9131944776e-01	6.9314754009e-01	5.0000000000e-01
28	6.9318032265e-01	4.9493634701e-01	6.9314843416e-01	5.0000000000e-01
29	6.9314676523e-01	5.0202542543e-01	6.9314742088e-01	5.0000000000e-01
30	6.9314819574e-01	5.0303822756e-01	6.9314730167e-01	5.0000000000e-01
31	6.9317263365e-01	4.6129918098e-01	6.9314718246e-01	5.0000000000e-01
32	6.9315010309e-01	4.9421295524e-01	6.9314718246e-01	5.0000000000e-01
33	6.9317632914e-01	4.8401331902e-01	6.9314724207e-01	5.0000000000e-01
34	6.9317990541e-01	4.7518810630e-01	6.9314754009e-01	5.0000000000e-01
35	6.9315791130e-01	4.9949362874e-01	6.9314789772e-01	5.0000000000e-01
36	6.9317585230e-01	4.9594905972e-01	6.9314801693e-01	5.0000000000e-01
37	6.9318979979e-01	4.8054108024e-01	6.9314831495e-01	5.0000000000e-01
38	6.9316202402e-01	4.9797454476e-01	6.9314831495e-01	5.0000000000e-01
39	6.9319945574e-01	4.9797454476e-01	6.9314932823e-01	5.0000000000e-01
40	6.9315260649e-01	5.0050634146e-01	6.9314718246e-01	5.0000000000e-01
41	6.9314736128e-01	5.0361686945e-01	6.9314730167e-01	5.0000000000e-01
42	6.9319391251e-01	5.0050634146e-01	6.9315016270e-01	5.0000000000e-01
43	6.9318705797e-01	5.0000000000e-01	6.9315481186e-01	5.0000000000e-01
44	6.9315958023e-01	4.9898728728e-01	6.9315207005e-01	5.0000000000e-01
45	6.9317787886e-01	5.0455731153e-01	6.9314861298e-01	5.0000000000e-01
46	6.9316953421e-01	4.9898728728e-01	6.9314926863e-01	5.0000000000e-01
47	6.9316691160e-01	4.9898728728e-01	6.9314759970e-01	5.0000000000e-01
48	6.9323253632e-01	4.6752023697e-01	6.9314771891e-01	5.0000000000e-01
49	6.9315201044e-01	4.9696180224e-01	6.9314718246e-01	5.0000000000e-01
50	6.9314318895e-01	5.0151908398e-01	6.9314795732e-01	5.0000000000e-01
