Label	Class	n_sample
0	dogs	791
1	cats	791

Epoch	AvgTrainLoss	AvgTrainAcc	AvgValLoss	AvgValAcc
1	6.9316667318e-01	4.7649016976e-01	6.9314718246e-01	5.0000000000e-01
2	6.9314861298e-01	4.9688947201e-01	6.9314831495e-01	5.0000000000e-01
3	6.9317913055e-01	5.0556999445e-01	6.9314748049e-01	5.0000000000e-01
4	6.9313287735e-01	5.0607639551e-01	6.9314944744e-01	5.0000000000e-01
5	6.9317102432e-01	4.9797454476e-01	6.9316005707e-01	5.0000000000e-01
6	6.9315069914e-01	5.0202542543e-01	6.9316339493e-01	5.0000000000e-01
7	6.9330579042e-01	4.9088540673e-01	6.9316440821e-01	5.0000000000e-01
8	6.9315099716e-01	5.0151908398e-01	6.9315069914e-01	5.0000000000e-01
9	6.9318455458e-01	4.9276623130e-01	6.9314718246e-01	5.0000000000e-01
10	6.9315934181e-01	5.0202542543e-01	6.9314748049e-01	5.0000000000e-01
11	6.9315123558e-01	5.0202542543e-01	6.9314742088e-01	5.0000000000e-01
12	6.9316387177e-01	4.8256656528e-01	6.9314712286e-01	5.0000000000e-01
13	6.9316679239e-01	4.9254918098e-01	6.9314789772e-01	5.0000000000e-01
14	6.9318032265e-01	4.8177084327e-01	6.9314748049e-01	5.0000000000e-01
15	6.9315606356e-01	5.0151908398e-01	6.9314718246e-01	5.0000000000e-01
16	6.9315272570e-01	5.0000000000e-01	6.9314742088e-01	5.0000000000e-01
17	6.9315695763e-01	5.0101274252e-01	6.9314807653e-01	5.0000000000e-01
18	6.9319719076e-01	4.9746814370e-01	6.9315063953e-01	5.0000000000e-01
19	6.9317311049e-01	4.9746814370e-01	6.9314718246e-01	5.0000000000e-01
20	6.9316214323e-01	4.8857060075e-01	6.9314843416e-01	5.0000000000e-01
21	6.9315832853e-01	5.0101274252e-01	6.9314777851e-01	5.0000000000e-01
22	6.9317483902e-01	4.9442997575e-01	6.9314765930e-01	5.0000000000e-01
23	6.9315212965e-01	5.0180846453e-01	6.9314724207e-01	5.0000000000e-01
24	6.9316339493e-01	4.8328992724e-01	6.9314724207e-01	5.0000000000e-01
25	6.9316393137e-01	4.8726853728e-01	6.9314754009e-01	5.0000000000e-01
26	6.9315844774e-01	4.9898728728e-01	6.9314801693e-01	5.0000000000e-01
27	6.9316244125e-01	5.0000000000e-01	6.9314801693e-01	5.0000000000e-01
28	6.9315719604e-01	4.9457466602e-01	6.9314718246e-01	5.0000000000e-01
29	6.9315332174e-01	5.0000000000e-01	6.9314736128e-01	5.0000000000e-01
30	6.9315546751e-01	4.7952833772e-01	6.9314718246e-01	5.0000000000e-01
31	6.9316071272e-01	5.0506365299e-01	6.9314843416e-01	5.0000000000e-01
32	6.9316673279e-01	4.9949362874e-01	6.9315326214e-01	5.0000000000e-01
33	6.9319897890e-01	4.9544271827e-01	6.9315046072e-01	5.0000000000e-01
34	6.9314914942e-01	5.0151908398e-01	6.9314819574e-01	5.0000000000e-01
35	6.9319540262e-01	4.7352430224e-01	6.9314724207e-01	5.0000000000e-01
36	6.9315034151e-01	4.9645543098e-01	6.9314730167e-01	5.0000000000e-01
37	6.9315022230e-01	5.0050634146e-01	6.9314974546e-01	5.0000000000e-01
38	6.9314700365e-01	5.0253182650e-01	6.9315421581e-01	5.0000000000e-01
39	6.9316679239e-01	5.0303822756e-01	6.9315201044e-01	5.0000000000e-01
40	6.9317954779e-01	4.9848091602e-01	6.9315809011e-01	5.0000000000e-01
41	6.9317513704e-01	4.9898728728e-01	6.9315701723e-01	5.0000000000e-01
42	6.9319200516e-01	5.0506365299e-01	6.9314873219e-01	5.0000000000e-01
43	6.9316309690e-01	4.9746814370e-01	6.9314992428e-01	5.0000000000e-01
44	6.9316941500e-01	4.9746814370e-01	6.9314885139e-01	5.0000000000e-01
45	6.9315582514e-01	4.9949362874e-01	6.9314742088e-01	5.0000000000e-01
46	6.9315022230e-01	4.9710646272e-01	6.9314718246e-01	5.0000000000e-01
47	6.9315403700e-01	4.8907697201e-01	6.9314718246e-01	5.0000000000e-01
48	6.9319128990e-01	4.6932873130e-01	6.9314765930e-01	5.0000000000e-01
49	6.9315344095e-01	4.9168112874e-01	6.9314754009e-01	5.0000000000e-01
50	6.9315320253e-01	4.9898728728e-01	6.9314777851e-01	5.0000000000e-01
51	6.9315129519e-01	5.0101274252e-01	6.9314765930e-01	5.0000000000e-01
52	6.9315487146e-01	4.9797454476e-01	6.9314754009e-01	5.0000000000e-01
53	6.9316434860e-01	4.9645543098e-01	6.9314754009e-01	5.0000000000e-01
54	6.9315749407e-01	4.9942126870e-01	6.9314759970e-01	5.0000000000e-01
55	6.9317728281e-01	5.0050634146e-01	6.9314748049e-01	5.0000000000e-01
56	6.9315689802e-01	5.0101274252e-01	6.9314944744e-01	5.0000000000e-01
57	6.9318866730e-01	4.9544271827e-01	6.9315129519e-01	5.0000000000e-01
58	6.9317573309e-01	4.9696180224e-01	6.9314968586e-01	5.0000000000e-01
59	6.9316238165e-01	5.0000000000e-01	6.9314754009e-01	5.0000000000e-01
60	6.9314962626e-01	5.0122976303e-01	6.9314742088e-01	5.0000000000e-01
61	6.9314473867e-01	5.0253182650e-01	6.9315028191e-01	5.0000000000e-01
62	6.9315320253e-01	5.0050634146e-01	6.9315135479e-01	5.0000000000e-01
63	6.9316869974e-01	5.0506365299e-01	6.9314980507e-01	5.0000000000e-01
64	6.9321584702e-01	4.9696180224e-01	6.9316065311e-01	5.0000000000e-01
65	6.9317430258e-01	4.9848091602e-01	6.9315594435e-01	5.0000000000e-01
66	6.9319051504e-01	4.9746814370e-01	6.9315332174e-01	5.0000000000e-01
67	6.9314962626e-01	5.0455731153e-01	6.9314801693e-01	5.0000000000e-01
68	6.9317406416e-01	4.9594905972e-01	6.9314795732e-01	5.0000000000e-01
69	6.9316345453e-01	5.0253182650e-01	6.9314718246e-01	5.0000000000e-01
70	6.9317287207e-01	4.9696180224e-01	6.9314718246e-01	5.0000000000e-01
71	6.9315141439e-01	5.0238716602e-01	6.9314730167e-01	5.0000000000e-01
72	6.9317013025e-01	4.9848091602e-01	6.9314843416e-01	5.0000000000e-01
73	6.9315916300e-01	5.0405091047e-01	6.9314718246e-01	5.0000000000e-01
74	6.9315201044e-01	5.0253182650e-01	6.9314855337e-01	5.0000000000e-01
75	6.9317549467e-01	5.0000000000e-01	6.9315296412e-01	5.0000000000e-01
76	6.9315439463e-01	5.0506365299e-01	6.9314908981e-01	5.0000000000e-01
77	6.9315618277e-01	4.9898728728e-01	6.9315135479e-01	5.0000000000e-01
78	6.9315123558e-01	5.0354456902e-01	6.9314920902e-01	5.0000000000e-01
79	6.9314289093e-01	5.0151908398e-01	6.9315201044e-01	5.0000000000e-01
80	6.9313949347e-01	5.0253182650e-01	6.9315218925e-01	5.0000000000e-01
81	6.9317466021e-01	4.9848091602e-01	6.9315481186e-01	5.0000000000e-01
82	6.9314950705e-01	5.0202542543e-01	6.9315218925e-01	5.0000000000e-01
83	6.9317197800e-01	4.9746814370e-01	6.9315123558e-01	5.0000000000e-01
84	6.9316738844e-01	4.9898728728e-01	6.9315093756e-01	5.0000000000e-01
85	6.9317585230e-01	4.9544271827e-01	6.9314801693e-01	5.0000000000e-01
86	6.9315671921e-01	4.9696180224e-01	6.9314718246e-01	5.0000000000e-01
87	6.9317346811e-01	5.0050634146e-01	6.9315242767e-01	5.0000000000e-01
88	6.9313496351e-01	5.0506365299e-01	6.9315552711e-01	5.0000000000e-01
89	6.9311118126e-01	5.0759547949e-01	6.9315689802e-01	5.0000000000e-01
90	6.9311094284e-01	5.0506365299e-01	6.9316136837e-01	5.0000000000e-01
91	6.9312983751e-01	5.0303822756e-01	6.9317150116e-01	5.0000000000e-01
92	6.9319945574e-01	5.0000000000e-01	6.9318872690e-01	5.0000000000e-01
93	6.9318342209e-01	5.0050634146e-01	6.9318592548e-01	5.0000000000e-01
94	6.9316577911e-01	5.0151908398e-01	6.9317197800e-01	5.0000000000e-01
95	6.9316643476e-01	5.0101274252e-01	6.9316083193e-01	5.0000000000e-01
96	6.9317084551e-01	5.0000000000e-01	6.9315397739e-01	5.0000000000e-01
97	6.9313144684e-01	5.0455731153e-01	6.9315296412e-01	5.0000000000e-01
98	6.9315820932e-01	5.0000000000e-01	6.9315427542e-01	5.0000000000e-01
99	6.9318312407e-01	5.0202542543e-01	6.9314920902e-01	5.0000000000e-01
100	6.9316625595e-01	4.9797454476e-01	6.9315052032e-01	5.0000000000e-01
101	6.9315773249e-01	4.9949362874e-01	6.9314998388e-01	5.0000000000e-01
102	6.9319725037e-01	4.9544271827e-01	6.9315087795e-01	5.0000000000e-01
103	6.9317799807e-01	4.8907697201e-01	6.9314742088e-01	5.0000000000e-01
104	6.9314998388e-01	5.0405091047e-01	6.9314765930e-01	5.0000000000e-01
105	6.9321680069e-01	4.9696180224e-01	6.9315463305e-01	5.0000000000e-01
106	6.9320821762e-01	5.0202542543e-01	6.9314801693e-01	5.0000000000e-01
107	6.9315129519e-01	5.0151908398e-01	6.9314968586e-01	5.0000000000e-01
108	6.9316166639e-01	4.9848091602e-01	6.9314968586e-01	5.0000000000e-01
109	6.9315522909e-01	5.0455731153e-01	6.9314825535e-01	5.0000000000e-01
110	6.9313979149e-01	5.0253182650e-01	6.9314956665e-01	5.0000000000e-01
111	6.9322156906e-01	4.9594905972e-01	6.9315528870e-01	5.0000000000e-01
112	6.9321227074e-01	4.9645543098e-01	6.9315540791e-01	5.0000000000e-01
113	6.9314646721e-01	5.0050634146e-01	6.9314819574e-01	5.0000000000e-01
114	6.9314604998e-01	5.0000000000e-01	6.9314712286e-01	5.0000000000e-01
115	6.9316357374e-01	4.9500867724e-01	6.9314718246e-01	5.0000000000e-01
116	6.9316047430e-01	4.9450230598e-01	6.9314837456e-01	5.0000000000e-01
117	6.9316941500e-01	4.9797454476e-01	6.9314962626e-01	5.0000000000e-01
118	6.9316506386e-01	4.9746814370e-01	6.9314873219e-01	5.0000000000e-01
119	6.9314938784e-01	4.9848091602e-01	6.9314718246e-01	5.0000000000e-01
120	6.9323533773e-01	4.9066841602e-01	6.9315189123e-01	5.0000000000e-01
121	6.9315004349e-01	5.0050634146e-01	6.9314932823e-01	5.0000000000e-01
122	6.9315892458e-01	4.9898728728e-01	6.9314759970e-01	5.0000000000e-01
123	6.9315624237e-01	4.9746814370e-01	6.9314748049e-01	5.0000000000e-01
124	6.9316285849e-01	4.9269387126e-01	6.9314771891e-01	5.0000000000e-01
125	6.9319027662e-01	4.9797454476e-01	6.9315046072e-01	5.0000000000e-01
126	6.9316506386e-01	4.9645543098e-01	6.9314801693e-01	5.0000000000e-01
127	6.9316023588e-01	4.8900461197e-01	6.9314777851e-01	5.0000000000e-01
128	6.9315916300e-01	5.0202542543e-01	6.9314748049e-01	5.0000000000e-01
129	6.9313979149e-01	5.0202542543e-01	6.9314885139e-01	5.0000000000e-01
130	6.9316858053e-01	4.9746814370e-01	6.9315195084e-01	5.0000000000e-01
131	6.9314771891e-01	5.0101274252e-01	6.9315147400e-01	5.0000000000e-01
132	6.9323682785e-01	4.9848091602e-01	6.9315683842e-01	5.0000000000e-01
133	6.9316148758e-01	5.0202542543e-01	6.9314962626e-01	5.0000000000e-01
134	6.9316834211e-01	5.0303822756e-01	6.9314736128e-01	5.0000000000e-01
135	6.9315236807e-01	5.0303822756e-01	6.9314736128e-01	5.0000000000e-01
136	6.9318062067e-01	4.9645543098e-01	6.9315046072e-01	5.0000000000e-01
137	6.9317299128e-01	4.9797454476e-01	6.9314783812e-01	5.0000000000e-01
138	6.9316118956e-01	4.8835358024e-01	6.9314718246e-01	5.0000000000e-01
139	6.9318348169e-01	4.9848091602e-01	6.9314789772e-01	5.0000000000e-01
140	6.9315415621e-01	5.0151908398e-01	6.9314718246e-01	5.0000000000e-01
141	6.9316524267e-01	5.0050634146e-01	6.9314789772e-01	5.0000000000e-01
142	6.9316124916e-01	4.9848091602e-01	6.9314765930e-01	5.0000000000e-01
143	6.9317084551e-01	4.9645543098e-01	6.9314765930e-01	5.0000000000e-01
144	6.9322270155e-01	4.8451969028e-01	6.9314891100e-01	5.0000000000e-01
145	6.9315892458e-01	4.9696180224e-01	6.9314765930e-01	5.0000000000e-01
146	6.9315725565e-01	4.8914930224e-01	6.9314724207e-01	5.0000000000e-01
147	6.9315004349e-01	5.0253182650e-01	6.9314742088e-01	5.0000000000e-01
148	6.9315052032e-01	4.9949362874e-01	6.9314843416e-01	5.0000000000e-01
149	6.9317126274e-01	4.9746814370e-01	6.9314861298e-01	5.0000000000e-01
150	6.9315749407e-01	5.0253182650e-01	6.9314718246e-01	5.0000000000e-01
151	6.9316148758e-01	4.8495373130e-01	6.9314718246e-01	5.0000000000e-01
152	6.9318777323e-01	4.9124708772e-01	6.9314867258e-01	5.0000000000e-01
153	6.9316691160e-01	5.0607639551e-01	6.9314730167e-01	5.0000000000e-01
154	6.9314950705e-01	5.0000000000e-01	6.9314879179e-01	5.0000000000e-01
155	6.9314044714e-01	5.0506365299e-01	6.9314944744e-01	5.0000000000e-01
156	6.9322997332e-01	4.9645543098e-01	6.9315713644e-01	5.0000000000e-01
157	6.9318962097e-01	4.9645543098e-01	6.9315361977e-01	5.0000000000e-01
158	6.9315212965e-01	5.0101274252e-01	6.9314825535e-01	5.0000000000e-01
159	6.9315928221e-01	4.7851562500e-01	6.9314718246e-01	5.0000000000e-01
160	6.9319933653e-01	4.9797454476e-01	6.9315165281e-01	5.0000000000e-01
161	6.9318294525e-01	5.0354456902e-01	6.9314807653e-01	5.0000000000e-01
162	6.9314646721e-01	5.0253182650e-01	6.9314837456e-01	5.0000000000e-01
163	6.9315820932e-01	5.0101274252e-01	6.9314986467e-01	5.0000000000e-01
164	6.9322913885e-01	4.9696180224e-01	6.9315773249e-01	5.0000000000e-01
165	6.9319629669e-01	4.9544271827e-01	6.9315242767e-01	5.0000000000e-01
166	6.9316458702e-01	4.9696180224e-01	6.9314742088e-01	5.0000000000e-01
167	6.9320535660e-01	4.7844329476e-01	6.9315010309e-01	5.0000000000e-01
168	6.9315242767e-01	5.0050634146e-01	6.9315099716e-01	5.0000000000e-01
