Label	Class	n_sample
0	cats	791
1	dogs	791

Epoch	AvgTrainLoss	AvgTrainAcc	AvgValLoss	AvgValAcc
1	6.9330042601e-01	4.8233696818e-01	6.9316834211e-01	4.8819446564e-01
2	6.9332647324e-01	5.0203806162e-01	6.9307774305e-01	5.0590276718e-01
3	6.9329220057e-01	4.9592390656e-01	6.9317418337e-01	4.8229166865e-01
4	6.9324648380e-01	4.7894021869e-01	6.9289207458e-01	5.1770836115e-01
5	6.9365102053e-01	4.9184781313e-01	6.9361495972e-01	4.8229166865e-01
6	6.9342005253e-01	4.8777174950e-01	6.9364470243e-01	4.7048613429e-01
7	6.9336676598e-01	4.9592390656e-01	6.9286841154e-01	5.2361112833e-01
8	6.9358849525e-01	4.7758153081e-01	6.9319009781e-01	5.0000000000e-01
9	6.9319123030e-01	5.0407606363e-01	6.9295090437e-01	5.1180553436e-01
10	6.9324696064e-01	5.0000000000e-01	6.9315433502e-01	4.9409723282e-01
11	6.9329333305e-01	4.7282609344e-01	6.9314271212e-01	5.0590276718e-01
12	6.9323706627e-01	5.0000000000e-01	6.9308632612e-01	5.0590276718e-01
13	6.9328510761e-01	5.0611412525e-01	6.9330549240e-01	4.8819446564e-01
14	6.9343543053e-01	4.7486412525e-01	6.9299000502e-01	5.1180553436e-01
15	6.9320428371e-01	4.8913043737e-01	6.9316267967e-01	4.8229166865e-01
16	6.9329530001e-01	4.9796196818e-01	6.9316911697e-01	5.0000000000e-01
17	6.9328624010e-01	4.8845109344e-01	6.9318515062e-01	5.0000000000e-01
18	6.9328802824e-01	4.8913043737e-01	6.9325971603e-01	4.8229166865e-01
19	6.9336557388e-01	5.0611412525e-01	6.9318318367e-01	4.9409723282e-01
20	6.9325751066e-01	5.0000000000e-01	6.9316929579e-01	5.0000000000e-01
21	6.9327145815e-01	5.0203806162e-01	6.9349569082e-01	4.7638890147e-01
22	6.9334316254e-01	5.0203806162e-01	6.9311088324e-01	5.0590276718e-01
23	6.9332730770e-01	4.9252718687e-01	6.9294601679e-01	5.1180553436e-01
24	6.9325143099e-01	5.0000000000e-01	6.9328528643e-01	4.7638890147e-01
25	6.9341456890e-01	4.8233696818e-01	6.9329100847e-01	4.7638890147e-01
26	6.9343382120e-01	5.0067937374e-01	6.9338434935e-01	4.8229166865e-01
27	6.9328433275e-01	4.9796196818e-01	6.9301390648e-01	5.1180553436e-01
28	6.9326359034e-01	4.9796196818e-01	6.9307118654e-01	5.1770836115e-01
29	6.9346952438e-01	4.9388587475e-01	6.9307851791e-01	5.0590276718e-01
30	6.9353246689e-01	4.8369565606e-01	6.9298416376e-01	5.1180553436e-01
31	6.9341272116e-01	4.7622281313e-01	6.9330090284e-01	4.8229166865e-01
32	6.9394171238e-01	4.8777174950e-01	6.9357651472e-01	4.8819446564e-01
33	6.9308751822e-01	5.0339674950e-01	6.9300508499e-01	5.1180553436e-01
34	6.9326120615e-01	5.0000000000e-01	6.9294404984e-01	5.1180553436e-01
35	6.9324558973e-01	5.0815218687e-01	6.9322091341e-01	4.8819446564e-01
36	6.9362062216e-01	5.0815218687e-01	6.9273090363e-01	5.1770836115e-01
37	6.9348597527e-01	4.9388587475e-01	6.9355231524e-01	4.8229166865e-01
38	6.9386708736e-01	4.9184781313e-01	6.9308108091e-01	5.0590276718e-01
39	6.9335645437e-01	4.8777174950e-01	6.9312804937e-01	5.0590276718e-01
40	6.9361358881e-01	4.9592390656e-01	6.9314187765e-01	5.0590276718e-01
41	6.9344180822e-01	5.0000000000e-01	6.9264721870e-01	5.1770836115e-01
42	6.9333910942e-01	5.0000000000e-01	6.9309568405e-01	5.0590276718e-01
43	6.9360357523e-01	4.8437500000e-01	6.9316601753e-01	5.0000000000e-01
44	6.9335108995e-01	4.8845109344e-01	6.9269949198e-01	5.3541666269e-01
45	6.9325309992e-01	4.9592390656e-01	6.9307988882e-01	5.0590276718e-01
46	6.9323617220e-01	5.0203806162e-01	6.9296818972e-01	5.1770836115e-01
47	6.9343012571e-01	4.9388587475e-01	6.9321030378e-01	4.9409723282e-01
48	6.9372987747e-01	4.9456521869e-01	6.9309037924e-01	5.0590276718e-01
49	6.9325655699e-01	5.0000000000e-01	6.9319993258e-01	4.9409723282e-01
50	6.9359403849e-01	4.9048912525e-01	6.9328421354e-01	4.9409723282e-01
51	6.9341677427e-01	4.9796196818e-01	6.9314861298e-01	5.0000000000e-01
52	6.9341897964e-01	4.7282609344e-01	6.9320732355e-01	4.7048613429e-01
53	6.9339096546e-01	4.8165759444e-01	6.9311112165e-01	5.1180553436e-01
54	6.9324690104e-01	4.7690218687e-01	6.9310539961e-01	5.0590276718e-01
55	6.9338136911e-01	4.9184781313e-01	6.9329792261e-01	4.9409723282e-01
56	6.9351464510e-01	4.8845109344e-01	6.9303303957e-01	5.1180553436e-01
57	6.9352334738e-01	4.8845109344e-01	6.9364070892e-01	4.7638890147e-01
58	6.9319605827e-01	4.9320653081e-01	6.9321233034e-01	4.9409723282e-01
59	6.9333124161e-01	4.8233696818e-01	6.9313031435e-01	5.1770836115e-01
60	6.9345319271e-01	4.9388587475e-01	6.9320231676e-01	5.0000000000e-01
61	6.9338071346e-01	4.9932065606e-01	6.9308251143e-01	5.0590276718e-01
62	6.9328689575e-01	4.9796196818e-01	6.9311863184e-01	5.0590276718e-01
63	6.9350683689e-01	4.6739131212e-01	6.9308549166e-01	5.2361112833e-01
64	6.9332081079e-01	5.0203806162e-01	6.9356584549e-01	4.9409723282e-01
65	6.9345802069e-01	4.7010868788e-01	6.9315195084e-01	4.9409723282e-01
66	6.9330358505e-01	4.9592390656e-01	6.9323915243e-01	4.9409723282e-01
67	6.9321841002e-01	4.9116846919e-01	6.9325560331e-01	4.8819446564e-01
68	6.9326037169e-01	4.9388587475e-01	6.9329911470e-01	4.8819446564e-01
69	6.9338291883e-01	5.0407606363e-01	6.9287186861e-01	5.1770836115e-01
70	6.9359904528e-01	4.9388587475e-01	6.9300317764e-01	5.1180553436e-01
71	6.9327485561e-01	4.9728259444e-01	6.9343060255e-01	4.7048613429e-01
72	6.9384890795e-01	5.0407606363e-01	6.9357198477e-01	4.9409723282e-01
73	6.9355291128e-01	4.9048912525e-01	6.9331055880e-01	4.8819446564e-01
74	6.9330757856e-01	4.7418478131e-01	6.9323825836e-01	4.6458330750e-01
75	6.9321167469e-01	4.8437500000e-01	6.9350957870e-01	4.7048613429e-01
76	6.9386762381e-01	4.9592390656e-01	6.9335365295e-01	4.9409723282e-01
77	6.9304037094e-01	5.0883150101e-01	6.9300317764e-01	5.1180553436e-01
78	6.9337338209e-01	4.9796196818e-01	6.9283336401e-01	5.1770836115e-01
79	6.9356763363e-01	4.7961956263e-01	6.9331574440e-01	4.8819446564e-01
80	6.9315755367e-01	5.0611412525e-01	6.9354039431e-01	4.7638890147e-01
81	6.9334936142e-01	5.0000000000e-01	6.9323706627e-01	4.9409723282e-01
82	6.9341719151e-01	4.8165759444e-01	6.9315356016e-01	5.0000000000e-01
83	6.9315898418e-01	4.9116846919e-01	6.9311374426e-01	5.1180553436e-01
84	6.9316345453e-01	5.0407606363e-01	6.9299292564e-01	5.1180553436e-01
85	6.9345760345e-01	4.8165759444e-01	6.9318389893e-01	4.9409723282e-01
86	6.9343286753e-01	5.0000000000e-01	6.9354718924e-01	4.8229166865e-01
87	6.9321078062e-01	5.0203806162e-01	6.9316524267e-01	4.8819446564e-01
