Label	Class	n_sample
0	vertical	1
1	horizontal	1

Epoch	AvgTrainLoss	AvgTrainAcc	AvgValLoss	AvgValAcc
1	6.9314718246e-01	5.0000000000e-01	nan	nan
2	6.9313418865e-01	1.0000000000e+00	nan	nan
3	6.9314897060e-01	5.0000000000e-01	nan	nan
4	6.9310951233e-01	1.0000000000e+00	nan	nan
5	6.9305992126e-01	1.0000000000e+00	nan	nan
6	6.9315695763e-01	5.0000000000e-01	nan	nan
7	6.9307523966e-01	1.0000000000e+00	nan	nan
8	6.9311141968e-01	5.0000000000e-01	nan	nan
9	6.9336992502e-01	0.0000000000e+00	nan	nan
10	6.9321870804e-01	5.0000000000e-01	nan	nan
11	6.9315922260e-01	5.0000000000e-01	nan	nan
12	6.9299793243e-01	1.0000000000e+00	nan	nan
13	6.9284421206e-01	1.0000000000e+00	nan	nan
14	6.9326269627e-01	0.0000000000e+00	nan	nan
15	6.9293189049e-01	1.0000000000e+00	nan	nan
16	6.9316065311e-01	5.0000000000e-01	nan	nan
17	6.9299775362e-01	5.0000000000e-01	nan	nan
18	6.9373512268e-01	0.0000000000e+00	nan	nan
19	6.9328856468e-01	5.0000000000e-01	nan	nan
20	6.9326198101e-01	0.0000000000e+00	nan	nan
21	6.9347918034e-01	0.0000000000e+00	nan	nan
22	6.9251978397e-01	1.0000000000e+00	nan	nan
23	6.9342654943e-01	0.0000000000e+00	nan	nan
24	6.9300132990e-01	1.0000000000e+00	nan	nan
25	6.9306796789e-01	1.0000000000e+00	nan	nan
26	6.9307899475e-01	5.0000000000e-01	nan	nan
27	6.9302695990e-01	5.0000000000e-01	nan	nan
28	6.9230353832e-01	1.0000000000e+00	nan	nan
29	6.9253182411e-01	1.0000000000e+00	nan	nan
30	6.9284170866e-01	1.0000000000e+00	nan	nan
31	6.9314992428e-01	5.0000000000e-01	nan	nan
32	6.9325268269e-01	5.0000000000e-01	nan	nan
33	6.9335889816e-01	5.0000000000e-01	nan	nan
34	6.9307172298e-01	5.0000000000e-01	nan	nan
35	6.9328701496e-01	5.0000000000e-01	nan	nan
36	6.9329154491e-01	5.0000000000e-01	nan	nan
37	6.9362884760e-01	0.0000000000e+00	nan	nan
38	6.9288158417e-01	5.0000000000e-01	nan	nan
39	6.9210672379e-01	1.0000000000e+00	nan	nan
40	6.9299793243e-01	1.0000000000e+00	nan	nan
41	6.9318127632e-01	5.0000000000e-01	nan	nan
42	6.9215816259e-01	1.0000000000e+00	nan	nan
43	6.9249701500e-01	1.0000000000e+00	nan	nan
44	6.9377982616e-01	0.0000000000e+00	nan	nan
45	6.9319844246e-01	5.0000000000e-01	nan	nan
46	6.9289958477e-01	5.0000000000e-01	nan	nan
47	6.9396555424e-01	5.0000000000e-01	nan	nan
48	6.9342422485e-01	0.0000000000e+00	nan	nan
49	6.9270414114e-01	1.0000000000e+00	nan	nan
50	6.9235634804e-01	5.0000000000e-01	nan	nan
