Label	Class	n_sample
0	vertical	1
1	horizontal	1

Epoch	AvgTrainLoss	AvgTrainAcc	AvgValLoss	AvgValAcc
1	6.9314837456e-01	5.0000000000e-01	nan	nan
2	6.9310510159e-01	1.0000000000e+00	nan	nan
3	6.9308334589e-01	1.0000000000e+00	nan	nan
4	6.9306230545e-01	1.0000000000e+00	nan	nan
5	6.9304990768e-01	1.0000000000e+00	nan	nan
6	6.9303524494e-01	1.0000000000e+00	nan	nan
7	6.9302433729e-01	1.0000000000e+00	nan	nan
8	6.9301360846e-01	1.0000000000e+00	nan	nan
9	6.9300758839e-01	1.0000000000e+00	nan	nan
10	6.9299411774e-01	1.0000000000e+00	nan	nan
11	6.9298934937e-01	1.0000000000e+00	nan	nan
12	6.9298106432e-01	1.0000000000e+00	nan	nan
13	6.9297510386e-01	1.0000000000e+00	nan	nan
14	6.9296801090e-01	1.0000000000e+00	nan	nan
15	6.9296252728e-01	1.0000000000e+00	nan	nan
16	6.9295442104e-01	1.0000000000e+00	nan	nan
17	6.9294601679e-01	1.0000000000e+00	nan	nan
18	6.9294297695e-01	1.0000000000e+00	nan	nan
19	6.9293403625e-01	1.0000000000e+00	nan	nan
20	6.9292873144e-01	1.0000000000e+00	nan	nan
21	6.9292187691e-01	1.0000000000e+00	nan	nan
22	6.9292175770e-01	1.0000000000e+00	nan	nan
23	6.9291269779e-01	1.0000000000e+00	nan	nan
24	6.9291007519e-01	1.0000000000e+00	nan	nan
25	6.9290626049e-01	1.0000000000e+00	nan	nan
26	6.9289988279e-01	1.0000000000e+00	nan	nan
27	6.9289278984e-01	1.0000000000e+00	nan	nan
28	6.9288671017e-01	1.0000000000e+00	nan	nan
29	6.9288277626e-01	1.0000000000e+00	nan	nan
30	6.9287854433e-01	1.0000000000e+00	nan	nan
31	6.9287157059e-01	1.0000000000e+00	nan	nan
32	6.9286829233e-01	1.0000000000e+00	nan	nan
33	6.9286483526e-01	1.0000000000e+00	nan	nan
34	6.9285976887e-01	1.0000000000e+00	nan	nan
35	6.9285577536e-01	1.0000000000e+00	nan	nan
36	6.9285148382e-01	1.0000000000e+00	nan	nan
37	6.9284987450e-01	1.0000000000e+00	nan	nan
38	6.9284671545e-01	1.0000000000e+00	nan	nan
39	6.9284248352e-01	1.0000000000e+00	nan	nan
40	6.9283849001e-01	1.0000000000e+00	nan	nan
41	6.9283479452e-01	1.0000000000e+00	nan	nan
42	6.9283223152e-01	1.0000000000e+00	nan	nan
43	6.9282853603e-01	1.0000000000e+00	nan	nan
44	6.9282382727e-01	1.0000000000e+00	nan	nan
45	6.9281834364e-01	1.0000000000e+00	nan	nan
46	6.9281417131e-01	1.0000000000e+00	nan	nan
47	6.9281256199e-01	1.0000000000e+00	nan	nan
48	6.9280755520e-01	1.0000000000e+00	nan	nan
49	6.9280195236e-01	1.0000000000e+00	nan	nan
50	6.9279849529e-01	1.0000000000e+00	nan	nan
51	6.9279396534e-01	1.0000000000e+00	nan	nan
52	6.9279056787e-01	1.0000000000e+00	nan	nan
53	6.9278597832e-01	1.0000000000e+00	nan	nan
54	6.9278168678e-01	1.0000000000e+00	nan	nan
55	6.9277781248e-01	1.0000000000e+00	nan	nan
56	6.9277286530e-01	1.0000000000e+00	nan	nan
57	6.9276994467e-01	1.0000000000e+00	nan	nan
58	6.9276595116e-01	1.0000000000e+00	nan	nan
59	6.9276142120e-01	1.0000000000e+00	nan	nan
60	6.9275808334e-01	1.0000000000e+00	nan	nan
61	6.9275426865e-01	1.0000000000e+00	nan	nan
62	6.9275093079e-01	1.0000000000e+00	nan	nan
63	6.9274634123e-01	1.0000000000e+00	nan	nan
64	6.9273924828e-01	1.0000000000e+00	nan	nan
65	6.9273674488e-01	1.0000000000e+00	nan	nan
66	6.9273233414e-01	1.0000000000e+00	nan	nan
67	6.9272744656e-01	1.0000000000e+00	nan	nan
68	6.9272351265e-01	1.0000000000e+00	nan	nan
69	6.9271886349e-01	1.0000000000e+00	nan	nan
70	6.9271337986e-01	1.0000000000e+00	nan	nan
71	6.9270724058e-01	1.0000000000e+00	nan	nan
72	6.9270312786e-01	1.0000000000e+00	nan	nan
73	6.9269824028e-01	1.0000000000e+00	nan	nan
74	6.9269394875e-01	1.0000000000e+00	nan	nan
75	6.9268989563e-01	1.0000000000e+00	nan	nan
76	6.9268453121e-01	1.0000000000e+00	nan	nan
77	6.9268137217e-01	1.0000000000e+00	nan	nan
78	6.9267857075e-01	1.0000000000e+00	nan	nan
79	6.9267112017e-01	1.0000000000e+00	nan	nan
80	6.9266432524e-01	1.0000000000e+00	nan	nan
81	6.9265806675e-01	1.0000000000e+00	nan	nan
82	6.9265425205e-01	1.0000000000e+00	nan	nan
83	6.9264602661e-01	1.0000000000e+00	nan	nan
84	6.9263869524e-01	1.0000000000e+00	nan	nan
85	6.9263476133e-01	1.0000000000e+00	nan	nan
86	6.9263201952e-01	1.0000000000e+00	nan	nan
87	6.9262635708e-01	1.0000000000e+00	nan	nan
88	6.9261920452e-01	1.0000000000e+00	nan	nan
89	6.9261384010e-01	1.0000000000e+00	nan	nan
90	6.9260668755e-01	1.0000000000e+00	nan	nan
91	6.9260072708e-01	1.0000000000e+00	nan	nan
92	6.9259750843e-01	1.0000000000e+00	nan	nan
93	6.9259023666e-01	1.0000000000e+00	nan	nan
94	6.9258457422e-01	1.0000000000e+00	nan	nan
95	6.9257897139e-01	1.0000000000e+00	nan	nan
96	6.9257086515e-01	1.0000000000e+00	nan	nan
97	6.9256567955e-01	1.0000000000e+00	nan	nan
98	6.9255918264e-01	1.0000000000e+00	nan	nan
99	6.9255471230e-01	1.0000000000e+00	nan	nan
100	6.9254755974e-01	1.0000000000e+00	nan	nan
101	6.9263166189e-01	1.0000000000e+00	nan	nan
102	6.9261997938e-01	1.0000000000e+00	nan	nan
103	6.9261276722e-01	1.0000000000e+00	nan	nan
104	6.9260394573e-01	1.0000000000e+00	nan	nan
105	6.9259583950e-01	1.0000000000e+00	nan	nan
106	6.9258743525e-01	1.0000000000e+00	nan	nan
107	6.9257819653e-01	1.0000000000e+00	nan	nan
108	6.9256997108e-01	1.0000000000e+00	nan	nan
109	6.9256293774e-01	1.0000000000e+00	nan	nan
110	6.9255441427e-01	1.0000000000e+00	nan	nan
111	6.9254565239e-01	1.0000000000e+00	nan	nan
112	6.9253659248e-01	1.0000000000e+00	nan	nan
113	6.9252693653e-01	1.0000000000e+00	nan	nan
114	6.9251722097e-01	1.0000000000e+00	nan	nan
115	6.9251000881e-01	1.0000000000e+00	nan	nan
116	6.9250202179e-01	1.0000000000e+00	nan	nan
117	6.9249129295e-01	1.0000000000e+00	nan	nan
118	6.9248235226e-01	1.0000000000e+00	nan	nan
119	6.9247311354e-01	1.0000000000e+00	nan	nan
120	6.9246447086e-01	1.0000000000e+00	nan	nan
121	6.9245415926e-01	1.0000000000e+00	nan	nan
122	6.9244492054e-01	1.0000000000e+00	nan	nan
123	6.9243365526e-01	1.0000000000e+00	nan	nan
124	6.9242346287e-01	1.0000000000e+00	nan	nan
125	6.9241231680e-01	1.0000000000e+00	nan	nan
126	6.9240444899e-01	1.0000000000e+00	nan	nan
127	6.9239389896e-01	1.0000000000e+00	nan	nan
128	6.9238185883e-01	1.0000000000e+00	nan	nan
129	6.9237101078e-01	1.0000000000e+00	nan	nan
130	6.9236087799e-01	1.0000000000e+00	nan	nan
131	6.9234871864e-01	1.0000000000e+00	nan	nan
132	6.9233882427e-01	1.0000000000e+00	nan	nan
133	6.9232797623e-01	1.0000000000e+00	nan	nan
134	6.9231629372e-01	1.0000000000e+00	nan	nan
135	6.9230288267e-01	1.0000000000e+00	nan	nan
136	6.9228827953e-01	1.0000000000e+00	nan	nan
137	6.9227588177e-01	1.0000000000e+00	nan	nan
138	6.9226360321e-01	1.0000000000e+00	nan	nan
139	6.9225353003e-01	1.0000000000e+00	nan	nan
140	6.9223868847e-01	1.0000000000e+00	nan	nan
141	6.9222426414e-01	1.0000000000e+00	nan	nan
142	6.9221073389e-01	1.0000000000e+00	nan	nan
143	6.9219779968e-01	1.0000000000e+00	nan	nan
144	6.9218313694e-01	1.0000000000e+00	nan	nan
145	6.9216722250e-01	1.0000000000e+00	nan	nan
146	6.9215321541e-01	1.0000000000e+00	nan	nan
147	6.9213908911e-01	1.0000000000e+00	nan	nan
148	6.9212657213e-01	1.0000000000e+00	nan	nan
149	6.9211137295e-01	1.0000000000e+00	nan	nan
150	6.9209384918e-01	1.0000000000e+00	nan	nan
151	6.9207644463e-01	1.0000000000e+00	nan	nan
152	6.9206571579e-01	1.0000000000e+00	nan	nan
153	6.9204521179e-01	1.0000000000e+00	nan	nan
154	6.9202411175e-01	1.0000000000e+00	nan	nan
155	6.9201016426e-01	1.0000000000e+00	nan	nan
156	6.9199180603e-01	1.0000000000e+00	nan	nan
157	6.9197177887e-01	1.0000000000e+00	nan	nan
158	6.9195193052e-01	1.0000000000e+00	nan	nan
159	6.9193589687e-01	1.0000000000e+00	nan	nan
160	6.9192004204e-01	1.0000000000e+00	nan	nan
161	6.9190233946e-01	1.0000000000e+00	nan	nan
162	6.9188070297e-01	1.0000000000e+00	nan	nan
163	6.9185596704e-01	1.0000000000e+00	nan	nan
164	6.9183433056e-01	1.0000000000e+00	nan	nan
165	6.9181632996e-01	1.0000000000e+00	nan	nan
166	6.9179236889e-01	1.0000000000e+00	nan	nan
167	6.9177234173e-01	1.0000000000e+00	nan	nan
168	6.9174933434e-01	1.0000000000e+00	nan	nan
169	6.9172680378e-01	1.0000000000e+00	nan	nan
170	6.9170558453e-01	1.0000000000e+00	nan	nan
171	6.9168210030e-01	1.0000000000e+00	nan	nan
172	6.9165956974e-01	1.0000000000e+00	nan	nan
173	6.9163012505e-01	1.0000000000e+00	nan	nan
174	6.9160723686e-01	1.0000000000e+00	nan	nan
175	6.9157809019e-01	1.0000000000e+00	nan	nan
176	6.9155335426e-01	1.0000000000e+00	nan	nan
177	6.9152557850e-01	1.0000000000e+00	nan	nan
178	6.9150185585e-01	1.0000000000e+00	nan	nan
179	6.9147831202e-01	1.0000000000e+00	nan	nan
180	6.9145095348e-01	1.0000000000e+00	nan	nan
181	6.9141519070e-01	1.0000000000e+00	nan	nan
182	6.9137418270e-01	1.0000000000e+00	nan	nan
183	6.9133907557e-01	1.0000000000e+00	nan	nan
184	6.9130098820e-01	1.0000000000e+00	nan	nan
185	6.9126927853e-01	1.0000000000e+00	nan	nan
186	6.9123589993e-01	1.0000000000e+00	nan	nan
187	6.9120001793e-01	1.0000000000e+00	nan	nan
188	6.9116878510e-01	1.0000000000e+00	nan	nan
189	6.9112873077e-01	1.0000000000e+00	nan	nan
190	6.9109392166e-01	1.0000000000e+00	nan	nan
191	6.9105136395e-01	1.0000000000e+00	nan	nan
192	6.9101148844e-01	1.0000000000e+00	nan	nan
193	6.9097197056e-01	1.0000000000e+00	nan	nan
194	6.9093483686e-01	1.0000000000e+00	nan	nan
195	6.9088006020e-01	1.0000000000e+00	nan	nan
196	6.9083231688e-01	1.0000000000e+00	nan	nan
197	6.9079124928e-01	1.0000000000e+00	nan	nan
198	6.9074207544e-01	1.0000000000e+00	nan	nan
199	6.9068992138e-01	1.0000000000e+00	nan	nan
200	6.9065457582e-01	1.0000000000e+00	nan	nan
201	6.9299125671e-01	5.0000000000e-01	nan	nan
202	6.9296139479e-01	5.0000000000e-01	nan	nan
203	6.9294404984e-01	1.0000000000e+00	nan	nan
204	6.9292998314e-01	1.0000000000e+00	nan	nan
205	6.9292187691e-01	1.0000000000e+00	nan	nan
206	6.9291377068e-01	1.0000000000e+00	nan	nan
207	6.9290584326e-01	1.0000000000e+00	nan	nan
208	6.9289672375e-01	1.0000000000e+00	nan	nan
209	6.9288963079e-01	1.0000000000e+00	nan	nan
210	6.9288253784e-01	1.0000000000e+00	nan	nan
211	6.9287461042e-01	1.0000000000e+00	nan	nan
212	6.9286841154e-01	1.0000000000e+00	nan	nan
213	6.9286119938e-01	1.0000000000e+00	nan	nan
214	6.9285321236e-01	1.0000000000e+00	nan	nan
215	6.9284743071e-01	1.0000000000e+00	nan	nan
216	6.9284152985e-01	1.0000000000e+00	nan	nan
217	6.9283533096e-01	1.0000000000e+00	nan	nan
218	6.9282925129e-01	1.0000000000e+00	nan	nan
219	6.9282388687e-01	1.0000000000e+00	nan	nan
220	6.9281756878e-01	1.0000000000e+00	nan	nan
221	6.9281357527e-01	1.0000000000e+00	nan	nan
222	6.9280743599e-01	1.0000000000e+00	nan	nan
223	6.9280123711e-01	1.0000000000e+00	nan	nan
224	6.9279611111e-01	1.0000000000e+00	nan	nan
225	6.9279086590e-01	1.0000000000e+00	nan	nan
226	6.9278550148e-01	1.0000000000e+00	nan	nan
227	6.9278013706e-01	1.0000000000e+00	nan	nan
228	6.9277429581e-01	1.0000000000e+00	nan	nan
229	6.9276857376e-01	1.0000000000e+00	nan	nan
230	6.9276392460e-01	1.0000000000e+00	nan	nan
231	6.9275760651e-01	1.0000000000e+00	nan	nan
232	6.9275116920e-01	1.0000000000e+00	nan	nan
233	6.9274449348e-01	1.0000000000e+00	nan	nan
234	6.9273972511e-01	1.0000000000e+00	nan	nan
235	6.9273257256e-01	1.0000000000e+00	nan	nan
236	6.9272708893e-01	1.0000000000e+00	nan	nan
237	6.9272089005e-01	1.0000000000e+00	nan	nan
238	6.9271421432e-01	1.0000000000e+00	nan	nan
239	6.9270849228e-01	1.0000000000e+00	nan	nan
240	6.9270193577e-01	1.0000000000e+00	nan	nan
241	6.9269508123e-01	1.0000000000e+00	nan	nan
242	6.9268834591e-01	1.0000000000e+00	nan	nan
243	6.9268172979e-01	1.0000000000e+00	nan	nan
244	6.9267404079e-01	1.0000000000e+00	nan	nan
245	6.9266784191e-01	1.0000000000e+00	nan	nan
246	6.9266194105e-01	1.0000000000e+00	nan	nan
247	6.9265437126e-01	1.0000000000e+00	nan	nan
248	6.9264709949e-01	1.0000000000e+00	nan	nan
249	6.9263923168e-01	1.0000000000e+00	nan	nan
250	6.9263184071e-01	1.0000000000e+00	nan	nan
251	6.9262397289e-01	1.0000000000e+00	nan	nan
252	6.9261771441e-01	1.0000000000e+00	nan	nan
253	6.9260942936e-01	1.0000000000e+00	nan	nan
254	6.9260191917e-01	1.0000000000e+00	nan	nan
255	6.9259262085e-01	1.0000000000e+00	nan	nan
256	6.9258415699e-01	1.0000000000e+00	nan	nan
257	6.9257670641e-01	1.0000000000e+00	nan	nan
258	6.9256919622e-01	1.0000000000e+00	nan	nan
259	6.9256019592e-01	1.0000000000e+00	nan	nan
260	6.9255048037e-01	1.0000000000e+00	nan	nan
261	6.9254219532e-01	1.0000000000e+00	nan	nan
262	6.9253325462e-01	1.0000000000e+00	nan	nan
263	6.9252425432e-01	1.0000000000e+00	nan	nan
264	6.9251573086e-01	1.0000000000e+00	nan	nan
265	6.9250577688e-01	1.0000000000e+00	nan	nan
266	6.9249665737e-01	1.0000000000e+00	nan	nan
267	6.9248837233e-01	1.0000000000e+00	nan	nan
268	6.9247996807e-01	1.0000000000e+00	nan	nan
269	6.9247031212e-01	1.0000000000e+00	nan	nan
270	6.9246089458e-01	1.0000000000e+00	nan	nan
271	6.9244951010e-01	1.0000000000e+00	nan	nan
272	6.9243890047e-01	1.0000000000e+00	nan	nan
273	6.9242900610e-01	1.0000000000e+00	nan	nan
274	6.9241201878e-01	1.0000000000e+00	nan	nan
275	6.9239747524e-01	1.0000000000e+00	nan	nan
276	6.9238340855e-01	1.0000000000e+00	nan	nan
277	6.9236898422e-01	1.0000000000e+00	nan	nan
278	6.9235336781e-01	1.0000000000e+00	nan	nan
279	6.9233888388e-01	1.0000000000e+00	nan	nan
280	6.9232630730e-01	1.0000000000e+00	nan	nan
281	6.9231516123e-01	1.0000000000e+00	nan	nan
282	6.9230079651e-01	1.0000000000e+00	nan	nan
283	6.9228923321e-01	1.0000000000e+00	nan	nan
284	6.9227528572e-01	1.0000000000e+00	nan	nan
285	6.9226211309e-01	1.0000000000e+00	nan	nan
286	6.9224774837e-01	1.0000000000e+00	nan	nan
287	6.9223487377e-01	1.0000000000e+00	nan	nan
288	6.9222062826e-01	1.0000000000e+00	nan	nan
289	6.9220495224e-01	1.0000000000e+00	nan	nan
290	6.9218868017e-01	1.0000000000e+00	nan	nan
291	6.9217473269e-01	1.0000000000e+00	nan	nan
292	6.9215810299e-01	1.0000000000e+00	nan	nan
293	6.9214200974e-01	1.0000000000e+00	nan	nan
294	6.9212627411e-01	1.0000000000e+00	nan	nan
295	6.9210720062e-01	1.0000000000e+00	nan	nan
296	6.9209015369e-01	1.0000000000e+00	nan	nan
297	6.9207394123e-01	1.0000000000e+00	nan	nan
298	6.9205534458e-01	1.0000000000e+00	nan	nan
299	6.9203805923e-01	1.0000000000e+00	nan	nan
300	6.9201904535e-01	1.0000000000e+00	nan	nan
301	6.9306576252e-01	5.0000000000e-01	nan	nan
302	6.9304585457e-01	1.0000000000e+00	nan	nan
303	6.9303393364e-01	5.0000000000e-01	nan	nan
304	6.9302725792e-01	1.0000000000e+00	nan	nan
305	6.9302004576e-01	1.0000000000e+00	nan	nan
306	6.9301152229e-01	1.0000000000e+00	nan	nan
307	6.9300305843e-01	1.0000000000e+00	nan	nan
308	6.9299662113e-01	1.0000000000e+00	nan	nan
309	6.9299185276e-01	1.0000000000e+00	nan	nan
310	6.9298654795e-01	1.0000000000e+00	nan	nan
311	6.9298231602e-01	1.0000000000e+00	nan	nan
312	6.9297671318e-01	1.0000000000e+00	nan	nan
313	6.9297271967e-01	1.0000000000e+00	nan	nan
314	6.9296830893e-01	1.0000000000e+00	nan	nan
315	6.9296562672e-01	1.0000000000e+00	nan	nan
316	6.9296240807e-01	1.0000000000e+00	nan	nan
317	6.9295895100e-01	1.0000000000e+00	nan	nan
318	6.9295525551e-01	1.0000000000e+00	nan	nan
319	6.9295334816e-01	1.0000000000e+00	nan	nan
320	6.9294977188e-01	1.0000000000e+00	nan	nan
321	6.9294679165e-01	1.0000000000e+00	nan	nan
322	6.9294333458e-01	1.0000000000e+00	nan	nan
323	6.9293975830e-01	1.0000000000e+00	nan	nan
