Label	Class	n_sample
0	dogs	9
1	cats	9

Epoch	AvgTrainLoss	AvgTrainAcc	AvgValLoss	AvgValAcc
1	6.9314604998e-01	6.1111110449e-01	nan	nan
2	6.9313937426e-01	6.6666668653e-01	nan	nan
3	6.9313395023e-01	8.3333331347e-01	nan	nan
4	6.9312900305e-01	7.7777779102e-01	nan	nan
5	6.9312429428e-01	7.2222220898e-01	nan	nan
6	6.9312143326e-01	7.2222220898e-01	nan	nan
7	6.9311851263e-01	7.2222220898e-01	nan	nan
8	6.9311630726e-01	8.8888889551e-01	nan	nan
9	6.9311410189e-01	8.8888889551e-01	nan	nan
10	6.9311207533e-01	8.3333331347e-01	nan	nan
11	6.9311088324e-01	8.3333331347e-01	nan	nan
12	6.9310927391e-01	8.3333331347e-01	nan	nan
13	6.9310778379e-01	8.3333331347e-01	nan	nan
14	6.9310629368e-01	8.3333331347e-01	nan	nan
15	6.9310492277e-01	8.3333331347e-01	nan	nan
16	6.9310408831e-01	8.3333331347e-01	nan	nan
17	6.9310307503e-01	8.8888889551e-01	nan	nan
18	6.9310212135e-01	8.8888889551e-01	nan	nan
19	6.9310116768e-01	8.3333331347e-01	nan	nan
20	6.9310027361e-01	8.3333331347e-01	nan	nan
21	6.9309949875e-01	8.3333331347e-01	nan	nan
22	6.9309878349e-01	8.3333331347e-01	nan	nan
23	6.9309812784e-01	8.3333331347e-01	nan	nan
24	6.9309759140e-01	8.3333331347e-01	nan	nan
25	6.9309687614e-01	7.7777779102e-01	nan	nan
26	6.9309622049e-01	7.7777779102e-01	nan	nan
27	6.9309568405e-01	7.7777779102e-01	nan	nan
28	6.9309502840e-01	7.7777779102e-01	nan	nan
29	6.9309449196e-01	7.7777779102e-01	nan	nan
30	6.9309401512e-01	7.7777779102e-01	nan	nan
31	6.9309347868e-01	7.7777779102e-01	nan	nan
32	6.9309294224e-01	7.7777779102e-01	nan	nan
33	6.9309246540e-01	7.7777779102e-01	nan	nan
34	6.9309186935e-01	7.7777779102e-01	nan	nan
35	6.9309121370e-01	7.7777779102e-01	nan	nan
36	6.9309079647e-01	7.7777779102e-01	nan	nan
37	6.9309043884e-01	7.7777779102e-01	nan	nan
38	6.9308996201e-01	7.7777779102e-01	nan	nan
39	6.9308960438e-01	7.7777779102e-01	nan	nan
40	6.9308912754e-01	7.7777779102e-01	nan	nan
41	6.9308871031e-01	7.7777779102e-01	nan	nan
42	6.9308823347e-01	7.7777779102e-01	nan	nan
43	6.9308781624e-01	7.7777779102e-01	nan	nan
44	6.9308739901e-01	7.7777779102e-01	nan	nan
45	6.9308704138e-01	7.7777779102e-01	nan	nan
46	6.9308650494e-01	7.7777779102e-01	nan	nan
47	6.9308620691e-01	7.7777779102e-01	nan	nan
48	6.9308555126e-01	7.7777779102e-01	nan	nan
49	6.9308501482e-01	8.3333331347e-01	nan	nan
50	6.9308477640e-01	8.3333331347e-01	nan	nan
51	6.9308435917e-01	8.3333331347e-01	nan	nan
52	6.9308400154e-01	8.3333331347e-01	nan	nan
53	6.9308352470e-01	8.3333331347e-01	nan	nan
54	6.9308316708e-01	8.3333331347e-01	nan	nan
55	6.9308263063e-01	8.3333331347e-01	nan	nan
56	6.9308215380e-01	8.3333331347e-01	nan	nan
57	6.9308167696e-01	7.7777779102e-01	nan	nan
58	6.9308125973e-01	7.7777779102e-01	nan	nan
59	6.9308078289e-01	7.7777779102e-01	nan	nan
