Label	Class	n_sample
0	dogs	791
1	cats	1127

Epoch	AvgTrainLoss	AvgTrainAcc	AvgValLoss	AvgValAcc
1	6.9146537781e-01	5.6072366238e-01	6.8789947033e-01	5.8638745546e-01
2	6.8406063318e-01	5.8748596907e-01	6.7822939157e-01	5.8638745546e-01
3	6.7923295498e-01	5.8938503265e-01	6.7854982615e-01	5.8638745546e-01
4	6.7678195238e-01	5.8900517225e-01	6.7897123098e-01	5.8638745546e-01
5	6.7793828249e-01	5.8938503265e-01	6.7816799879e-01	5.8638745546e-01
6	6.7777556181e-01	5.8729606867e-01	6.7818224430e-01	5.8638745546e-01
7	6.7793422937e-01	5.8767592907e-01	6.7816334963e-01	5.8638745546e-01
8	6.7700940371e-01	5.8900517225e-01	6.7801481485e-01	5.8638745546e-01
9	6.7800956964e-01	5.8596670628e-01	6.7749303579e-01	5.8638745546e-01
10	6.7496299744e-01	5.8710616827e-01	6.7559581995e-01	5.8638745546e-01
11	6.7001575232e-01	5.8710616827e-01	6.7051291466e-01	5.8638745546e-01
12	6.4763224125e-01	5.8938503265e-01	7.0360839367e-01	5.8638745546e-01
13	6.7375481129e-01	5.8881533146e-01	6.5304440260e-01	5.8638745546e-01
14	6.4472824335e-01	5.8843553066e-01	6.5643525124e-01	5.8638745546e-01
15	6.3158839941e-01	5.9756565094e-01	6.4358842373e-01	5.9162300825e-01
16	6.1325305700e-01	6.2996679544e-01	6.4944911003e-01	5.7591623068e-01
17	5.9759122133e-01	6.3018006086e-01	6.8319559097e-01	6.0732984543e-01
18	5.9504085779e-01	6.5603965521e-01	6.3451093435e-01	6.1256545782e-01
19	5.6991177797e-01	6.9176566601e-01	6.0272449255e-01	6.3874346018e-01
20	6.7170727253e-01	5.9407430887e-01	6.1101406813e-01	6.4921468496e-01
21	6.1378473043e-01	6.3608181477e-01	6.3274633884e-01	6.1780107021e-01
22	6.2266314030e-01	6.5319103003e-01	6.2654685974e-01	6.5445023775e-01
23	6.0705554485e-01	6.5714401007e-01	6.2541675568e-01	6.4921468496e-01
24	6.0252672434e-01	6.6454166174e-01	6.5089386702e-01	6.3874346018e-01
25	5.8483403921e-01	6.8077141047e-01	6.0935270786e-01	6.5968585014e-01
26	5.7004022598e-01	6.9101768732e-01	5.9331977367e-01	6.8062829971e-01
27	5.5474728346e-01	7.0792526007e-01	5.8239120245e-01	6.9109946489e-01
28	5.3062784672e-01	7.1740019321e-01	5.5399125814e-01	7.0680630207e-01
29	5.0710213184e-01	7.5468051434e-01	5.2637368441e-01	7.2774869204e-01
30	4.8935768008e-01	7.6117527485e-01	4.9774402380e-01	7.8010469675e-01
31	5.0243693590e-01	7.5481194258e-01	4.9510112405e-01	7.6439791918e-01
32	4.7415509820e-01	7.6922446489e-01	4.9329999089e-01	7.8010469675e-01
33	4.5285481215e-01	7.8613203764e-01	5.0262856483e-01	7.8534030914e-01
34	4.7158339620e-01	7.7234774828e-01	4.9944126606e-01	7.7486908436e-01
35	4.4196107984e-01	7.8759288788e-01	5.3524667025e-01	7.3298430443e-01
36	4.6378993988e-01	7.7735835314e-01	5.5832386017e-01	7.1204191446e-01
37	4.8126700521e-01	7.5488203764e-01	5.0172162056e-01	7.4869108200e-01
38	4.4517347217e-01	7.8778278828e-01	5.4400235415e-01	7.4869108200e-01
39	4.2081832886e-01	8.1031751633e-01	5.1141518354e-01	7.8010469675e-01
40	4.1626676917e-01	8.0231511593e-01	4.9272328615e-01	7.7486908436e-01
41	4.0445441008e-01	8.1216984987e-01	4.9221652746e-01	7.8010469675e-01
42	3.9965543151e-01	8.1402218342e-01	5.0493043661e-01	7.7486908436e-01
43	3.9321765304e-01	8.2387691736e-01	5.1415044069e-01	7.6439791918e-01
44	3.8148099184e-01	8.2892262936e-01	5.2443313599e-01	7.5392669439e-01
45	3.9804229140e-01	8.2075363398e-01	5.1717913151e-01	7.5916230679e-01
46	3.9445748925e-01	8.2595425844e-01	4.9146372080e-01	7.8534030914e-01
47	4.0161818266e-01	8.2671386003e-01	5.5646884441e-01	7.5392669439e-01
48	3.8901075721e-01	8.1941264868e-01	4.9679833651e-01	7.6963353157e-01
49	3.5664585233e-01	8.5108917952e-01	5.1489949226e-01	7.5916230679e-01
50	3.5520413518e-01	8.5386765003e-01	5.4583460093e-01	7.8010469675e-01
