Label	Class	n_sample
0	dogs	791
1	cats	791

Epoch	AvgTrainLoss	AvgTrainAcc	AvgValLoss	AvgValAcc
1	6.9320660830e-01	4.9696180224e-01	6.9315040112e-01	5.0000000000e-01
2	6.9317197800e-01	4.8459199071e-01	6.9314724207e-01	5.0000000000e-01
3	6.9315481186e-01	5.0050634146e-01	6.9314789772e-01	5.0000000000e-01
4	6.9315838814e-01	4.9797454476e-01	6.9314694405e-01	5.0000000000e-01
5	6.9314241409e-01	5.0405091047e-01	6.9313549995e-01	5.0000000000e-01
6	6.9304537773e-01	5.0253182650e-01	6.9289195538e-01	5.0000000000e-01
7	6.9307643175e-01	4.9949362874e-01	6.9271761179e-01	5.0000000000e-01
8	6.9260096550e-01	5.0303822756e-01	6.9233947992e-01	5.0000000000e-01
9	6.9240623713e-01	5.0491899252e-01	6.9195228815e-01	5.0000000000e-01
10	6.9254946709e-01	4.9565970898e-01	6.9114178419e-01	5.0000000000e-01
11	6.9305211306e-01	5.1721644402e-01	6.9297152758e-01	5.0000000000e-01
12	6.9280725718e-01	5.2524596453e-01	6.9198876619e-01	5.7594937086e-01
13	6.9361501932e-01	5.2329283953e-01	6.9077342749e-01	5.0000000000e-01
14	6.9188255072e-01	5.4116028547e-01	6.9213300943e-01	5.2531647682e-01
15	6.9109535217e-01	5.7320600748e-01	6.9003713131e-01	5.2531647682e-01
16	6.8968725204e-01	5.0520831347e-01	6.8697625399e-01	5.0000000000e-01
17	6.8797677755e-01	5.5128759146e-01	6.7990076542e-01	5.3164559603e-01
18	6.7697334290e-01	5.7269966602e-01	6.6007310152e-01	6.3924050331e-01
19	6.6548287868e-01	6.3020831347e-01	6.3499605656e-01	6.8987339735e-01
20	6.5471559763e-01	6.1892360449e-01	6.3718605042e-01	6.4556962252e-01
21	6.4356565475e-01	6.5060764551e-01	6.3304525614e-01	6.4556962252e-01
22	6.4257901907e-01	6.3765913248e-01	7.0147401094e-01	5.5063289404e-01
23	6.6528439522e-01	6.0995370150e-01	6.2155085802e-01	6.3924050331e-01
24	6.3054656982e-01	6.6601562500e-01	6.1831700802e-01	6.7721521854e-01
25	6.2804996967e-01	6.6181999445e-01	6.2820190191e-01	6.5822786093e-01
26	6.2325453758e-01	6.6051793098e-01	6.0470783710e-01	6.8354427814e-01
27	6.1863285303e-01	6.6579860449e-01	6.0306566954e-01	6.8354427814e-01
28	6.0568481684e-01	6.7361110449e-01	5.9564375877e-01	6.9620251656e-01
29	5.9568119049e-01	6.8221932650e-01	6.0659980774e-01	6.5189874172e-01
30	5.8490759134e-01	6.8692129850e-01	5.7082885504e-01	6.8987339735e-01
31	5.8291172981e-01	6.9473379850e-01	5.6506115198e-01	6.8987339735e-01
32	5.7021993399e-01	7.1303528547e-01	5.5788373947e-01	7.0253163576e-01
33	5.8289688826e-01	6.8532985449e-01	5.5791056156e-01	7.1518987417e-01
34	5.7235735655e-01	7.1202254295e-01	5.6713950634e-01	6.9620251656e-01
35	5.7126873732e-01	7.0196753740e-01	5.7782322168e-01	6.9620251656e-01
36	5.4694670439e-01	7.2880500555e-01	5.3256243467e-01	7.2151899338e-01
37	5.6903582811e-01	7.2352433205e-01	5.4773294926e-01	7.2151899338e-01
38	5.4807740450e-01	7.1679687500e-01	5.3268927336e-01	7.2151899338e-01
39	5.4443043470e-01	7.1788191795e-01	5.3655803204e-01	7.0886075497e-01
40	5.3749436140e-01	7.2757524252e-01	5.4088759422e-01	7.3417723179e-01
41	5.2208679914e-01	7.4696183205e-01	5.2586841583e-01	7.2151899338e-01
42	5.2274101973e-01	7.4428528547e-01	5.2050292492e-01	7.7215188742e-01
43	5.1790302992e-01	7.3372393847e-01	5.1921248436e-01	7.8481012583e-01
44	5.1774722338e-01	7.5303816795e-01	5.3492230177e-01	7.5316452980e-01
45	5.1708161831e-01	7.4725121260e-01	5.2768927813e-01	7.5949364901e-01
46	5.0753372908e-01	7.5622105598e-01	5.1476615667e-01	7.5949364901e-01
47	4.9494585395e-01	7.5412327051e-01	5.0937926769e-01	7.8481012583e-01
48	4.9891009927e-01	7.4927663803e-01	5.0439405441e-01	7.7215188742e-01
49	4.8526799679e-01	7.6106768847e-01	4.9851897359e-01	7.6582276821e-01
50	4.7371539474e-01	7.7343750000e-01	5.0285989046e-01	7.7848100662e-01
