Label	Class	n_sample
0	dogs	791
1	cats	791

Epoch	AvgTrainLoss	AvgTrainAcc	AvgValLoss	AvgValAcc
51	5.8242905140e-01	7.1043109894e-01	5.2845162153e-01	7.5316452980e-01
52	5.2803868055e-01	7.3365163803e-01	5.3551250696e-01	7.7215188742e-01
53	5.0650304556e-01	7.7452254295e-01	5.2466738224e-01	7.7215188742e-01
54	4.8417362571e-01	7.6150172949e-01	5.1730573177e-01	7.7848100662e-01
55	4.6889892220e-01	7.7792245150e-01	5.2625668049e-01	7.5949364901e-01
56	4.5251324773e-01	7.8508394957e-01	5.1469999552e-01	7.8481012583e-01
57	4.4790902734e-01	7.8624129295e-01	5.3325372934e-01	7.4683547020e-01
58	4.6875867248e-01	7.7242475748e-01	5.2698749304e-01	7.5949364901e-01
59	4.4187268615e-01	7.9477721453e-01	5.4179203510e-01	7.4050635099e-01
60	4.4832268357e-01	7.8378182650e-01	5.2009004354e-01	7.5949364901e-01
61	4.3188071251e-01	7.9564523697e-01	5.2148783207e-01	7.5316452980e-01
62	4.2794227600e-01	7.9962378740e-01	5.2650284767e-01	7.7215188742e-01
63	4.1746211052e-01	8.0852144957e-01	5.2014046907e-01	7.5316452980e-01
64	4.1613057256e-01	8.1090855598e-01	5.2274942398e-01	7.4683547020e-01
65	4.1532793641e-01	8.0591726303e-01	5.2338439226e-01	7.6582276821e-01
66	4.0270861983e-01	8.0483216047e-01	5.4680430889e-01	7.2784811258e-01
67	4.0399876237e-01	8.1915503740e-01	5.2969348431e-01	7.7215188742e-01
68	4.0300199389e-01	8.0982351303e-01	5.3907173872e-01	7.4050635099e-01
69	3.8822662830e-01	8.1915503740e-01	5.7602518797e-01	7.4683547020e-01
70	3.8911190629e-01	8.1785297394e-01	5.4799681902e-01	7.4683547020e-01
71	3.7139579654e-01	8.4056711197e-01	5.3246521950e-01	7.6582276821e-01
72	3.6488398910e-01	8.3463543653e-01	5.4923522472e-01	7.4683547020e-01
73	3.7718394399e-01	8.2544851303e-01	5.8201169968e-01	7.0886075497e-01
74	3.5847547650e-01	8.3485245705e-01	5.5607265234e-01	7.4050635099e-01
75	3.5381639004e-01	8.3991605043e-01	5.8448475599e-01	7.4050635099e-01
76	3.3271542192e-01	8.5662621260e-01	5.6179344654e-01	7.3417723179e-01
77	3.3358964324e-01	8.5771125555e-01	6.4202183485e-01	7.3417723179e-01
78	3.2115498185e-01	8.6226850748e-01	5.9069007635e-01	7.5949364901e-01
79	2.9914113879e-01	8.7123841047e-01	6.0146963596e-01	7.5316452980e-01
80	3.0221411586e-01	8.7362557650e-01	5.9752768278e-01	7.5316452980e-01
81	2.9032984376e-01	8.7225121260e-01	6.0647773743e-01	7.5949364901e-01
82	2.9265186191e-01	8.7717014551e-01	6.0804051161e-01	7.4683547020e-01
83	2.9091611505e-01	8.7492769957e-01	5.7011532784e-01	7.4683547020e-01
84	3.1062656641e-01	8.6964702606e-01	5.9091043472e-01	7.3417723179e-01
85	3.1441825628e-01	8.6074942350e-01	7.6080781221e-01	7.2151899338e-01
86	2.9529738426e-01	8.6827254295e-01	6.2178003788e-01	7.5316452980e-01
