Label	Class	n_sample
0	dogs	791
1	cats	791

Epoch	AvgTrainLoss	AvgTrainAcc	AvgValLoss	AvgValAcc
1	6.9317674637e-01	5.0108510256e-01	6.9314867258e-01	5.0000000000e-01
2	6.9314432144e-01	4.9537038803e-01	6.9314503670e-01	5.0000000000e-01
3	6.9321507215e-01	4.8191550374e-01	6.9312435389e-01	5.0000000000e-01
4	6.9313502312e-01	5.0086802244e-01	6.9312518835e-01	5.0000000000e-01
5	6.9314789772e-01	5.0115740299e-01	6.9305998087e-01	5.0000000000e-01
6	6.9314885139e-01	4.9486398697e-01	6.9275206327e-01	5.0000000000e-01
7	6.9290488958e-01	4.9913194776e-01	6.9197857380e-01	5.0000000000e-01
8	6.9244050980e-01	5.1497393847e-01	6.9132417440e-01	4.9367088079e-01
9	6.9231438637e-01	5.0166374445e-01	6.8950372934e-01	5.1898735762e-01
10	6.9072061777e-01	5.4311341047e-01	6.8350970745e-01	5.7594937086e-01
11	6.8058896065e-01	5.6553822756e-01	6.9400060177e-01	5.0632911921e-01
12	6.8625396490e-01	5.7530385256e-01	6.7331290245e-01	6.1392402649e-01
13	6.8477678299e-01	5.6857639551e-01	6.5789628029e-01	6.5822786093e-01
14	6.7260438204e-01	5.9309893847e-01	6.4368265867e-01	7.0253163576e-01
15	6.5726631880e-01	6.3888889551e-01	6.5981072187e-01	5.8227849007e-01
16	6.5073460340e-01	6.2847220898e-01	6.8142700195e-01	5.8227849007e-01
17	6.5234857798e-01	6.4048033953e-01	6.5171205997e-01	6.0759490728e-01
18	6.3330191374e-01	6.5986686945e-01	6.0189247131e-01	6.8987339735e-01
19	6.2487602234e-01	6.5936052799e-01	5.9098905325e-01	7.0253163576e-01
20	6.2155896425e-01	6.7042827606e-01	5.8381688595e-01	6.8987339735e-01
21	6.1169058084e-01	6.7136859894e-01	5.8954203129e-01	6.7088609934e-01
22	6.0120087862e-01	6.7990452051e-01	5.7759708166e-01	6.7721521854e-01
23	6.0730654001e-01	6.8055558205e-01	5.7376450300e-01	7.0886075497e-01
24	5.8850461245e-01	7.0449942350e-01	5.7238125801e-01	6.7088609934e-01
25	5.9641063213e-01	6.9256371260e-01	5.5651110411e-01	7.0886075497e-01
26	5.8962577581e-01	6.9458913803e-01	6.1378848553e-01	6.7721521854e-01
27	6.1869418621e-01	6.7259836197e-01	5.8884161711e-01	6.9620251656e-01
28	6.0194581747e-01	6.8634253740e-01	5.8029973507e-01	6.8987339735e-01
29	5.8903765678e-01	6.9473379850e-01	5.5773001909e-01	7.1518987417e-01
30	5.6658834219e-01	7.3213249445e-01	5.5556046963e-01	7.0886075497e-01
31	5.5540531874e-01	7.3198789358e-01	5.7785552740e-01	6.9620251656e-01
32	5.7121974230e-01	7.0941835642e-01	5.8420962095e-01	6.9620251656e-01
33	5.6303137541e-01	7.2236686945e-01	5.6792747974e-01	7.2151899338e-01
34	5.6908470392e-01	7.2591143847e-01	5.8463490009e-01	6.7721521854e-01
35	5.5164092779e-01	7.2214984894e-01	5.9969222546e-01	6.5822786093e-01
36	5.6856018305e-01	7.0203995705e-01	5.3773164749e-01	7.0886075497e-01
37	5.4146462679e-01	7.2989004850e-01	5.3440135717e-01	7.3417723179e-01
38	5.4778689146e-01	7.3046875000e-01	5.2922052145e-01	7.4683547020e-01
39	5.3895407915e-01	7.2938370705e-01	5.3569853306e-01	7.4050635099e-01
40	5.1787561178e-01	7.6215273142e-01	5.1970380545e-01	7.5316452980e-01
41	5.0924360752e-01	7.5708913803e-01	5.1262009144e-01	7.6582276821e-01
42	5.0414234400e-01	7.7358216047e-01	5.0288891792e-01	7.6582276821e-01
43	4.9354907870e-01	7.7213543653e-01	5.1065254211e-01	7.5949364901e-01
44	5.0066262484e-01	7.6490163803e-01	4.9981781840e-01	7.7215188742e-01
45	4.8822167516e-01	7.7329283953e-01	4.8781287670e-01	7.9746836424e-01
46	4.8056349158e-01	7.8508394957e-01	4.9210682511e-01	7.5949364901e-01
47	4.6929931641e-01	7.7705436945e-01	4.8244267702e-01	7.7215188742e-01
48	4.9697613716e-01	7.6070600748e-01	5.3248155117e-01	7.4050635099e-01
49	4.9342802167e-01	7.6056128740e-01	4.9086296558e-01	7.5316452980e-01
