Label	Class	n_sample
0	dogs	791
1	cats	791

Epoch	AvgTrainLoss	AvgTrainAcc	AvgValLoss	AvgValAcc
1	2.0795767307e+00	4.9131944776e-01	6.9345360994e-01	5.0000000000e-01
2	6.9358044863e-01	5.0354456902e-01	6.9313544035e-01	5.0000000000e-01
3	6.9322913885e-01	4.9797454476e-01	6.9310575724e-01	5.0000000000e-01
4	6.9314092398e-01	5.0412327051e-01	6.9307112694e-01	5.3164559603e-01
5	6.9302040339e-01	5.2857351303e-01	6.9282060862e-01	5.0632911921e-01
6	6.9281822443e-01	5.0441259146e-01	6.9250500202e-01	5.0000000000e-01
7	6.9191116095e-01	5.1989293098e-01	6.9284427166e-01	5.0632911921e-01
8	6.9143062830e-01	5.3399884701e-01	6.9289898872e-01	5.0632911921e-01
9	6.9062489271e-01	5.4405385256e-01	6.9083249569e-01	5.4430377483e-01
10	6.8146783113e-01	5.6589990854e-01	6.5543866158e-01	6.7721521854e-01
11	6.8680173159e-01	5.5938947201e-01	6.8821495771e-01	5.3164559603e-01
12	6.8334168196e-01	5.5070894957e-01	6.5813505650e-01	5.8860760927e-01
13	6.6727513075e-01	6.1067706347e-01	6.2587970495e-01	6.8354427814e-01
14	6.4180952311e-01	6.3447624445e-01	5.7468974590e-01	7.0886075497e-01
15	6.3531905413e-01	6.3939523697e-01	5.8552414179e-01	6.8354427814e-01
16	6.2652832270e-01	6.6905379295e-01	5.6129056215e-01	7.5316452980e-01
17	6.0916924477e-01	6.7896413803e-01	5.1796478033e-01	7.7215188742e-01
18	6.0388106108e-01	6.7375582457e-01	5.1876974106e-01	7.4050635099e-01
19	5.9569770098e-01	6.7028355598e-01	5.2782815695e-01	7.5316452980e-01
20	5.7901704311e-01	7.0421004295e-01	4.9737378955e-01	7.7215188742e-01
21	5.6813699007e-01	7.1498841047e-01	4.8938837647e-01	7.9113924503e-01
22	5.6969088316e-01	7.0572918653e-01	5.0264924765e-01	7.5316452980e-01
23	5.4029470682e-01	7.3632812500e-01	5.0172501802e-01	7.5949364901e-01
24	5.4702651501e-01	7.2323495150e-01	4.7420820594e-01	7.9746836424e-01
25	5.2742719650e-01	7.3799186945e-01	4.5114710927e-01	8.2278478146e-01
26	5.3514951468e-01	7.3357933760e-01	6.0481226444e-01	6.8987339735e-01
27	5.4172867537e-01	7.3075813055e-01	4.9808144569e-01	7.8481012583e-01
28	5.0468933582e-01	7.6967591047e-01	4.0967497230e-01	8.3544301987e-01
29	4.8195871711e-01	7.6519101858e-01	4.6351942420e-01	7.9113924503e-01
30	4.4748637080e-01	8.0215567350e-01	4.5239329338e-01	7.9113924503e-01
31	5.0862497091e-01	7.6924186945e-01	5.3937101364e-01	6.9620251656e-01
32	4.9369192123e-01	7.4782985449e-01	4.6539238095e-01	7.9113924503e-01
33	5.0293213129e-01	7.5766783953e-01	4.5244592428e-01	8.2278478146e-01
34	4.7239533067e-01	7.8349250555e-01	5.2092689276e-01	7.2151899338e-01
35	4.8825290799e-01	7.5817418098e-01	4.4339472055e-01	8.1645572186e-01
